Parameter,,,Unit,Test 1-7
Discovery resource pool configuration,,,,"As specified in Table A.7.1.1-3(Configuration #3-FDD)with parameters BWChannel, NPools = Number of configured resource pools (as specified in Table 11.5.1-2), and N = discSupportedProc"
DRX configuration,,,,As specified in Table 11.1.2-1
Active cell(s),,,,Cell 1 (Serving cell)
Cell 1,Cyclic prefix,,,Normal
,Cell ID,,,0
,Downlink power allocation,,dB,0
,,,dB,0 (NOTE 1)
,,,dB,0
,OCNG Pattern NOTE 2,,,OP.1 FDD
,Propagation channel,,,Static propagation conditionNo external noise sources are applied
,Antenna configuration,,,1x2
,RSRP,,dBm/15kHz,-85
Active Sidelink UE(s),,,,"Sidelink UE i, i = 0, …, discSupportedProc-1"
Sidelink UE i,Sidelink Transmissions,,,PSDCH (D.1 FDD)
,Resource pool index (NOTE 3),,,
,PSDCH RB allocation (NOTE 3),,,"PRB pairs {2*(i % NMAX_SF), 2*(i % NMAX_SF)+1}"
,Time offset (NOTE 4),,s,0
,Frequency offset (NOTE 4),,Hz,0
,Propagation Channel,,,Static propagation conditionNo external noise sources are applied
,Antenna configuration,,,1x2 Low
"NOTE 1:.NOTE 2:OCNG is used to fully allocate the available resource blocks to virtual UEs..NOTE 3: NMAX_SF represents the maximum number of Sidelink UEs transmitting in one subframe. NMAX_SF  = 12 (5 MHz), 25 (10MHz), 37 (15MHz), 50 (10MHz).NOTE 4:Time offset of Sidelink UE receive signal with respect to Cell 1 downlink timing at the tested UE.NOTE 5:Frequency offset of Sidelink UE with respect to Cell 1 uplink frequency.",,,,
