Parameter,Unit,Cell 1,Cell 2
Bandwidth,MHz,10 MHz,
Transmission mode,,9,
Uplink downlink configuration,,2,
Special subframe configuration,,4,
Cyclic Prefix,,Normal,Normal
Cell ID,,0,1
SINR (Note 8),dB,-2,N/A
,dB[mW/15kHz],-98,-98
Propagation channel,,EPA5,Static (Note 7)
Correlation and antenna configuration,,Low (2 x 2),(1 x 2)
Beamforming Model,,"As specified in Section B.4.3 (Note 11, 12)",N/A
DIP (Note 4),dB,N/A,-0.41
Cell-specific reference signals,,"Antenna ports 0,1",Antenna port 0
CSI reference signals,,"Antenna ports 15,16",N/A
CSI-RS periodicity and subframe offset,,5/3,N/A
CSI-RS reference signal configuration,,2,N/A
Zero-power CSI-RS configurationICSI-RS /       ZeroPowerCSI-RS bitmap,Subframes / bitmap,N/A,3 /0010000000000000
CodeBookSubsetRestriction bitmap,,001111,N/A
Reference measurement channel,,Note 2,R.2A TDD
Reporting mode,,PUCCH 1-1,N/A
Reporting periodicity,ms,Npd = 5,N/A
CQI delay,ms,10,N/A
Physical channel for CQI/PMI reporting,,PUSCH (Note 3),N/A
PUCCH Report Type for CQI/PMI,,2,N/A
Physical channel for RI reporting,,PUCCH Format 2,N/A
PUCCH Report Type for RI,,3,N/A
cqi-pmi-ConfigurationIndex,,3,N/A
ri-ConfigIndex,,805 (Note 9),N/A
Max number of HARQ transmissions,,1,N/A
ACK/NACK feedback mode,,Multiplexing,N/A
"Note 1:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink SF not later than SF#(n-4), this reported wideband CQI cannot be applied at the eNB downlink before SF#(n+4)Note 2:Reference measurement channel RC.11 TDD according to Table A.4-1 with one sided dynamic OCNG Pattern OP.1 TDD as described in Annex A.5.2.1.Note 3:To avoid collisions between CQI/ PMI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#3 and #8 to allow periodic CQI/ PMI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#2 and #7.Note 4:The respective received power spectral density of each interfering cell relative to  is defined by its associated DIP value as specified in clause B.5.1.Note 5:Two cells are considered in which Cell 1 is the serving cell and Cell 2 is the interfering cell. Intefering cell is fully loaded.Note 6: Both cells are time-synchronous.Note 7:Static channel is used for the interference model. In case for white Gaussian noise model Cell 2 is not present.Note 8:SINR corresponds to  of Cell 1 as defined in clause 8.1.1.Note 9:RI reporting interval is set to the maximum allowable length of 160ms to minimise collisions between RI, CQI/PMI and HARQ-ACK reports. In the case when all three reports collide, it is expected that CQI/PMI reports will be dropped, while RI and HARQ-ACK will be multiplexed. At eNB, CQI report collection shall be skipped every 160ms during performance verification and the reported CQI in subframe SF#7 of the previous frame is applied in downlink subframes until a new CQI (after CQI/PMI dropping) is available.Note 10:N/A.Note 11: The precoder in clause B.4.3 follows UE recommended PMI.Note 12: If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).",,,
