Parameter,,Unit,Test 1
Communication resource pool configuration,,,As specified in Table A.9-4(Configuration #4-V2X)
at antenna port,,dBm/15kHz,-98
Active cell(s),,,Cell 1 (PCell)
Cell 1,Test parameters,,As specified in Table 8.7.1-1 and Table 14.9-2
Active Sidelink UE(s),,,"Sidelink UE i, 0 ≤ i ≤ 14"
"Sidelink UE i,0 ≤ i ≤ 14",Sidelink Transmissions,,PSCCH + PSSCH
,Time gap between initial transmission and retransmission,Subframe,15
,Timing offset (Note 1),s,0
,Frequency offset (Note 2),Hz,0
,Synchronization,,GNSS or GNSS-equivalent
,Antenna configuration,,1x2
Note 1:Time offset of Sidelink UE receive signal with respect to GNSS reference timing.Note 2:Frequency offset of Sidelink UE with respect to GNSS reference frequency.Note 3:15 sidelink UEs should transmit one by one circularly for every subframe.,,,
