Reported value,Measured quantity value(L3 SS-SINR and L3 CSI-SINR),Measured quantity value(L1 SS-SINR and L1 CSI-SINR),Unit
SINR_0,SINR<-23,SINR<-23,dB
SINR_1,-23 SINR<-22.5,-23SINR<-22.5,dB
SINR_2,-22.5 SINR<-22,-22.5SINR<-22,dB
SINR_3,-22 SINR<-21.5,-22SINR<-21.5,dB
SINR_4,-21.5 SINR<-21,-21.5SINR<-21,dB
..,..,..,…
SINR_123,38 SINR<38.5,38SINR<38.5,dB
SINR_124,38.5 SINR<39,38.5SINR<39,dB
SINR_125,39 SINR<39.5,39SINR<39.5,dB
SINR_126,39.5 SINR<40,39.5SINR<40,dB
SINR_127,40 SINR,40SINR,dB
