Reported Quantity Value,Measured Quantity Value,Unit
SL_RX-TX_TIME_DIFFERENCE_0000,TSL Rx-Tx < -985024,Tc
SL_RX-TX_TIME_DIFFERENCE_0001,-985024 £ TSL Rx-Tx < -985016,Tc
SL_RX-TX_TIME_DIFFERENCE_0002,-985016 £ TSL Rx-Tx < -985008,Tc
¼,¼,…
SL_RX-TX_TIME_DIFFERENCE_123128,-8 £ TSL Rx-Tx < 0,Tc
SL_RX-TX_TIME_DIFFERENCE_123129,0 £ TSL Rx-Tx < 8,Tc
…,…,…
SL_RX-TX_TIME_DIFFERENCE_246255,985008 £ TSL Rx-Tx < 985016,Tc
SL_RX-TX_TIME_DIFFERENCE_246256,985016 £ TSL Rx-Tx < 985024,Tc
SL_RX-TX_TIME_DIFFERENCE_246257,985024 £ TSL Rx-Tx,Tc
