Reported value,Measured quantity value,Unit
SL_PRS-RSRP_0,SL_PRS-RSRP<-156,dBm
SL_PRS-RSRP_1,-156≤SL_PRS-RSRP<-155,dBm
SL_PRS-RSRP_2,-155≤SL_PRS-RSRP<-154,dBm
SL_PRS-RSRP_3,-154≤SL_PRS-RSRP<-153,dBm
SL_PRS-RSRP_4,-153≤SL_PRS-RSRP<-152,dBm
SL_PRS-RSRP_5,-152≤SL_PRS-RSRP<-151,dBm
SL_PRS-RSRP_6,-151≤SL_PRS-RSRP<-150,dBm
SL_PRS-RSRP_7,-150≤SL_PRS-RSRP<-149,dBm
SL_PRS-RSRP_8,-149≤SL_PRS-RSRP<-148,dBm
SL_PRS-RSRP_9,-148≤SL_PRS-RSRP<-147,dBm
SL_PRS-RSRP_10,-147≤SL_PRS-RSRP<-146,dBm
SL_PRS-RSRP_11,-146≤SL_PRS-RSRP<-145,dBm
SL_PRS-RSRP_12,-145≤SL_PRS-RSRP<-144,dBm
SL_PRS-RSRP_13,-144≤SL_PRS-RSRP<-143,dBm
SL_PRS-RSRP_14,-143≤SL_PRS-RSRP<-142,dBm
SL_PRS-RSRP_15,-142≤SL_PRS-RSRP<-141,dBm
SL_PRS-RSRP_16,-141≤SL_PRS-RSRP<-140,dBm
SL_PRS-RSRP_17,-140≤SL_PRS-RSRP<-139,dBm
SL_PRS-RSRP_18,-139≤SL_PRS-RSRP<-138,dBm
…,…,…
SL_PRS-RSRP_111,-46≤SL_PRS-RSRP<-45,dBm
SL_PRS-RSRP_112,-45≤SL_PRS-RSRP<-44,dBm
SL_PRS-RSRP_113,-44≤SL_PRS-RSRP<-43,dBm
SL_PRS-RSRP_114,-43≤SL_PRS-RSRP<-42,dBm
SL_PRS-RSRP_115,-42≤SL_PRS-RSRP<-41,dBm
SL_PRS-RSRP_116,-41≤SL_PRS-RSRP<-40,dBm
SL_PRS-RSRP_117,-40≤SL_PRS-RSRP<-39,dBm
SL_PRS-RSRP_118,-39≤SL_PRS-RSRP<-38,dBm
SL_PRS-RSRP_119,-38≤SL_PRS-RSRP<-37,dBm
SL_PRS-RSRP_120,-37≤SL_PRS-RSRP<-36,dBm
SL_PRS-RSRP_121,-36≤SL_PRS-RSRP<-35,dBm
SL_PRS-RSRP_122,-35≤SL_PRS-RSRP<-34,dBm
SL_PRS-RSRP_123,-34≤SL_PRS-RSRP<-33,dBm
SL_PRS-RSRP_124,-33≤SL_PRS-RSRP<-32,dBm
SL_PRS-RSRP_125,-32≤SL_PRS-RSRP<-31,dBm
SL_PRS-RSRP_126,-31≤SL_PRS-RSRP,dBm
