Reported value,Measured quantity value,Unit,
L1-SRS-RSRP_0,L1-SRS-RSRP<-140,dBm,
L1-SRS-RSRP_1,-140≤ L1-SRS-RSRP<-139,dBm,
L1-SRS-RSRP_2,-139≤ L1-SRS-RSRP<-138,dBm,
L1-SRS-RSRP_3,-138≤ L1-SRS-RSRP<-137,dBm,
L1-SRS-RSRP_4,-137≤ L1-SRS-RSRP<-136,dBm,
..,..,…,
L1-SRS-RSRP_95,-46≤ L1-SRS-RSRP<-45,dBm,
L1-SRS-RSRP_96,-45≤ L1-SRS-RSRP<-44,dBm,
L1-SRS-RSRP_97,-44≤ L1-SRS-RSRP,dBm,
L1-SRS-RSRP_98,Infinity,,
NOTE:‘Infinity’ means that UE cannot detect SRS due to too strong signal to measure.,,,
