Reported value,Measured quantity value (difference in measured RSRP from strongest RSRP),Unit
DIFFRSRP_0,0≥ΔRSRP>-2,dB
DIFFRSRP_1,-2≥ΔRSRP>-4,dB
DIFFRSRP_2,-4≥ΔRSRP>-6,dB
DIFFRSRP_3,-6≥ΔRSRP>-8,dB
DIFFRSRP_4,-8≥ΔRSRP>-10,dB
DIFFRSRP_5,-10≥ΔRSRP>-12,dB
DIFFRSRP_6,-12≥ΔRSRP>-14,dB
DIFFRSRP_7,-14≥ΔRSRP>-16,dB
DIFFRSRP_8,-16≥ΔRSRP>-18,dB
DIFFRSRP_9,-18≥ΔRSRP>-20,dB
DIFFRSRP_10,-20≥ΔRSRP>-22,dB
DIFFRSRP_11,-22≥ΔRSRP>-24,dB
DIFFRSRP_12,-24≥ΔRSRP>-26,dB
DIFFRSRP_13,-26≥ΔRSRP>-28,dB
DIFFRSRP_14,-28≥ΔRSRP>-30,dB
DIFFRSRP_15,-30≥ΔRSRP,dB
