Parameter,Io Note 1 range,,,
,E-UTRA operating band groups Note 3,Minimum Io,Maximum Io,
Conditions,,dBm/15 kHz Note 2,dBm/BWChannel,
,"FDD_A, TDD_A",-121,-50,
,"FDD_C, TDD_C",-120,-50,
,FDD_D,-119.5,-50,
,"FDD_E, TDD_E",-119,-50,
,FDD_F,-118.5,-50,
,FDD_G,-118,-50,
,FDD_H,-117.5,-50,
,FDD_N,-114.5,-50,
"NOTE 1:When in dBm/15 kHz, the minimum Io condition is expressed as the average Io per RE over all REs in that symbol. Io may be different in different symbols within a subframe.NOTE 2:The condition level is increased by ∆>0, when applicable, as described in clauses B.4.2 and B.4.3 in TS 36.133 [15].NOTE 3:E-UTRA operating band groups are as defined in clause 3.5 in TS 36.133 [15].",,,,
