Reported value,Measured quantity value,Unit
SL_PRS-RSRPP_0,SL_PRS-RSRPP<-156,dBm
SL_PRS-RSRPP_1,-156≤SL_PRS-RSRPP<-155,dBm
SL_PRS-RSRPP_2,-155≤SL_PRS-RSRPP<-154,dBm
SL_PRS-RSRPP_3,-154≤SL_PRS-RSRPP<-153,dBm
SL_PRS-RSRPP_4,-153≤SL_PRS-RSRPP<-152,dBm
SL_PRS-RSRPP_5,-152≤SL_PRS-RSRPP<-151,dBm
SL_PRS-RSRPP_6,-151≤SL_PRS-RSRPP<-150,dBm
SL_PRS-RSRPP_7,-150≤SL_PRS-RSRPP<-149,dBm
SL_PRS-RSRPP_8,-149≤SL_PRS-RSRPP<-148,dBm
SL_PRS-RSRPP_9,-148≤SL_PRS-RSRPP<-147,dBm
SL_PRS-RSRPP_10,-147≤SL_PRS-RSRPP<-146,dBm
SL_PRS-RSRPP_11,-146≤SL_PRS-RSRPP<-145,dBm
SL_PRS-RSRPP_12,-145≤SL_PRS-RSRPP<-144,dBm
SL_PRS-RSRPP_13,-144≤SL_PRS-RSRPP<-143,dBm
SL_PRS-RSRPP_14,-143≤SL_PRS-RSRPP<-142,dBm
SL_PRS-RSRPP_15,-142≤SL_PRS-RSRPP<-141,dBm
SL_PRS-RSRPP_16,-141≤SL_PRS-RSRPP<-140,dBm
SL_PRS-RSRPP_17,-140≤SL_PRS-RSRPP<-139,dBm
SL_PRS-RSRPP_18,-139≤SL_PRS-RSRPP<-138,dBm
…,…,…
SL_PRS-RSRPP_111,-46≤SL_PRS-RSRPP<-45,dBm
SL_PRS-RSRPP_112,-45≤SL_PRS-RSRPP<-44,dBm
SL_PRS-RSRPP_113,-44≤SL_PRS-RSRPP<-43,dBm
SL_PRS-RSRPP_114,-43≤SL_PRS-RSRPP<-42,dBm
SL_PRS-RSRPP_115,-42≤SL_PRS-RSRPP<-41,dBm
SL_PRS-RSRPP_116,-41≤SL_PRS-RSRPP<-40,dBm
SL_PRS-RSRPP_117,-40≤SL_PRS-RSRPP<-39,dBm
SL_PRS-RSRPP_118,-39≤SL_PRS-RSRPP<-38,dBm
SL_PRS-RSRPP_119,-38≤SL_PRS-RSRPP<-37,dBm
SL_PRS-RSRPP_120,-37≤SL_PRS-RSRPP<-36,dBm
SL_PRS-RSRPP_121,-36≤SL_PRS-RSRPP<-35,dBm
SL_PRS-RSRPP_122,-35≤SL_PRS-RSRPP<-34,dBm
SL_PRS-RSRPP_123,-34≤SL_PRS-RSRPP<-33,dBm
SL_PRS-RSRPP_124,-33≤SL_PRS-RSRPP<-32,dBm
SL_PRS-RSRPP_125,-32≤SL_PRS-RSRPP<-31,dBm
SL_PRS-RSRPP_126,-31≤SL_PRS-RSRPP,dBm
