Reported Quantity Value,Measured Quantity Value,Unit
RX-TX_TIME_DIFFERENCE_00000000,TUE Rx-Tx < -985024,Tc
RX-TX_TIME_DIFFERENCE_00000001,-985024  TUE Rx-Tx < -985023.9688,Tc
RX-TX_TIME_DIFFERENCE_00000002,-985023.9688  TUE Rx-Tx < -985023.9375,Tc
,,…
RX-TX_TIME_DIFFERENCE_31520768,-0.0312  TUE Rx-Tx < 0,Tc
RX-TX_TIME_DIFFERENCE_31520769,0  TUE Rx-Tx < 0.0312,Tc
…,…,…
RX-TX_TIME_DIFFERENCE_63041535,985023.9375  TUE Rx-Tx < 985023.9688,Tc
RX-TX_TIME_DIFFERENCE_63041536,985023.9688  TUE Rx-Tx < 985024,Tc
RX-TX_TIME_DIFFERENCE_63041537,985024  TUE Rx-Tx,Tc
