Reported value,Measured quantity value (difference in measured RSSI from strongest RSSI),Unit
DIFF_CLI-RSSI_0,0≥ΔCLI-RSSI>-2,dB
DIFF_CLI-RSSI_1,-2≥ΔCLI-RSSI>-4,dB
DIFF_CLI-RSSI_2,-4≥ΔCLI-RSSI>-6,dB
DIFF_CLI-RSSI_3,-6≥ΔCLI-RSSI>-8,dB
DIFF_CLI-RSSI_4,-8≥ΔCLI-RSSI>-10,dB
DIFF_CLI-RSSI_5,-10≥ΔCLI-RSSI>-12,dB
DIFF_CLI-RSSI_6,-12≥ΔCLI-RSSI>-14,dB
DIFF_CLI-RSSI_7,-14≥ΔCLI-RSSI>-16,dB
DIFF_CLI-RSSI_8,-16≥ΔCLI-RSSI>-18,dB
DIFF_CLI-RSSI_9,-18≥ΔCLI-RSSI>-20,dB
DIFF_CLI-RSSI_10,-20≥ΔCLI-RSSI>-22,dB
DIFF_CLI-RSSI_11,-22≥ΔCLI-RSSI>-24,dB
DIFF_CLI-RSSI_12,-24≥ΔCLI-RSSI>-26,dB
DIFF_CLI-RSSI_13,-26≥ΔCLI-RSSI>-28,dB
DIFF_CLI-RSSI_14,-28≥ΔCLI-RSSI>-30,dB
DIFF_CLI-RSSI_15,-30≥ΔCLI-RSSI,dB
