Reported value,Measured quantity value,Unit
DIFFRSRP_0,-30≥ΔRSRP,dB
DIFFRSRP_1,-29≥ΔRSRP>-30,dB
DIFFRSRP_2,-28≥ΔRSRP>-29,dB
DIFFRSRP_3,-27≥ΔRSRP>-28,dB
DIFFRSRP_4,-26≥ΔRSRP>-27,dB
DIFFRSRP_5,-25≥ΔRSRP>-26,dB
DIFFRSRP_6,-24≥ΔRSRP>-25,dB
DIFFRSRP_7,-23≥ΔRSRP>-24,dB
DIFFRSRP_8,-22≥ΔRSRP>-23,dB
DIFFRSRP_9,-21≥ΔRSRP>-22,dB
DIFFRSRP_10,-20≥ΔRSRP>-21,dB
DIFFRSRP_11,-19≥ΔRSRP>-20,dB
DIFFRSRP_12,-18≥ΔRSRP>-19,dB
DIFFRSRP_13,-17≥ΔRSRP>-18,dB
DIFFRSRP_14,-16≥ΔRSRP>-17,dB
DIFFRSRP_15,-15≥ΔRSRP>-16,dB
DIFFRSRP_16,-14≥ΔRSRP>-15,dB
DIFFRSRP_17,-13≥ΔRSRP>-14,dB
DIFFRSRP_18,-12≥ΔRSRP>-13,dB
DIFFRSRP_19,-11≥ΔRSRP>-12,dB
DIFFRSRP_20,-10≥ΔRSRP>-11,dB
DIFFRSRP_21,-9≥ΔRSRP>-10,dB
DIFFRSRP_22,-8≥ΔRSRP>-9,dB
DIFFRSRP_23,-7≥ΔRSRP>-8,dB
DIFFRSRP_24,-6≥ΔRSRP>-7,dB
DIFFRSRP_25,-5≥ΔRSRP>-6,dB
DIFFRSRP_26,-4≥ΔRSRP>-5,dB
DIFFRSRP_27,-3≥ΔRSRP>-4,dB
DIFFRSRP_28,-2≥ΔRSRP>-3,dB
DIFFRSRP_29,-1≥ΔRSRP>-2,dB
DIFFRSRP_30,0≥ΔRSRP>-1,dB
