Accuracy,,Conditions,,,,,,
Normal condition,Extreme condition,PRS Ês/Iot,PRS SCS,PRS BW Note 2,PRS sample,operating band group Note 5,Io Note 4 range,
,,,,,,,MinimumIo Note 1,MaximumIo
dB,dB,dB,kHz,PRB,-,,dBm / SCSPRS,dBm/BWChannel
±4.8,±9.3,≥-3,15,48,≥4,NR_TDD_FR1_B,-123.5,-50
,,,,,,NR_TDD_FR1_C,-123,-50
,,,,,,NR_FDD_FR1_G,-121,-50
,,,,,,NR_TDD_FR1_J,-119.5,-50
±4.7,±9.2,,,> 48,≥1,Note 3,,
±4.5,±9.0,,,≥ 96,≥1,Note 3,,
±4.7,±9.2,,30,≥ 24,≥4,NR_TDD_FR1_B,-120.5,-50
,,,,,,NR_TDD_FR1_C,-120,-50
,,,,,,NR_FDD_FR1_G,-118,-50
,,,,,,NR_TDD_FR1_J,-116.5,-50
±4.8,±9.3,,,> 48,≥1,Note 3,,
±4.8,±9.3,,60,≥ 24,≥4,NR_TDD_FR1_B,-117.5,-50
,,,,,,NR_TDD_FR1_C,-117,-50
,,,,,,NR_FDD_FR1_G,-115,-50
,,,,,,NR_TDD_FR1_J,-113.5,-50
NOTE 1:This minimum Io condition is expressed as the average Io per RE over all REs in an OFDM symbol.NOTE 2:SL PRS bandwidth is as indicated in sl-PRS-BW in the SL-PRS-AssistanceData defined in TS 38.355 [37].NOTE 3:The same bands and the same Io conditions for each band apply for this requirement as for the corresponding requirement with the SL PRS bandwidth of the smallest PRB number for the corresponding SCS.NOTE 4:The Io is defined in PRS positioning subframes. The same Io range applies to PRS and non-PRS symbols. Io levels are different in PRS and non-PRS symbols within the same subframe.NOTE 5:NR V2X operating band groups are as defined in Section 3.5.2.,,,,,,,,
