Accuracy,Conditions,,,,,,
,PRS Ês/Iot,Minimum PRS bandwidth,PRS SCS,PRS resource repetition Note 3(TrepPRS*LPRS/KcombPRS,NR operating band groupsNote 2,IoNote 4 range,
,,,,,,MinimumIoNote 1,MaximumIo
TcNote 5,dB,PRB,kHz,,,dBm / SCSPRS,dBm/BW
±(202+),-3,≥24,15,≥4,NOTE 6,NOTE 6,NOTE 6
±(158+),,≥52,,≥1,NOTE 6,NOTE 6,NOTE 6
±(114+),,104,,≥1,NOTE 6,NOTE 6,NOTE 6
±(153+),,≥24,30,≥4,NOTE 6,NOTE 6,NOTE 6
±(120+),,48,,≥1,NOTE 6,NOTE 6,NOTE 6
±(72+),,24,60,≥4,NOTE 6,NOTE 6,NOTE 6
±(179+),-10,≥24,15,≥4,NOTE 6,NOTE 6,NOTE 6
±(169+),,≥52,,≥1,NOTE 6,NOTE 6,NOTE 6
±(126+),,104,,≥1,NOTE 6,NOTE 6,NOTE 6
±(152+),,≥24,30,≥4,NOTE 6,NOTE 6,NOTE 6
±(133+),,48,,≥1,NOTE 6,NOTE 6,NOTE 6
±(72+),,24,60,≥4,NOTE 6,NOTE 6,NOTE 6
"NOTE 1:This minimum Io condition is expressed as the average Io per RE over all REs in an OFDM symbol.NOTE 2:NR operating band groups are as defined in Section 3.5.NOTE 3: are configured by higher layer parameter dl-PRS-ResourceRepetitionFactor, dl-PRS-NumSymbols, and dl-PRS-CombSizeN defined in TS 37.355 [34].NOTE 4:The Io is defined in PRS slots. The same Io range applies to PRS and non-PRS symbols. Io levels are different in PRS and non-PRS symbols within the same slot.NOTE 5:Tc is the basic timing unit defined in TS 38.211 [6].NOTE 6:The same bands and the same Io conditions for each band apply for this requirement as for the corresponding requirement with the PRS bandwidth of the smallest PRB number for the corresponding SCS as defined in table 10.1A.18.2.2-1.NOTE 7:  is the margin determined from table 10.1A.18.2.2-3.TrepPRS, LPRS ,KcombPRS",,,,,,,
