Accuracy,Conditions,,,,,,
,PRS Ês/Iot,Minimum PRS bandwidth,PRS SCS,PRS resource repetition Note 3(TrepPRS*LPRS/KcombPRS,NR operating band groupsNote 2,IoNote 4 range,
,,,,,,MinimumIoNote 1,MaximumIo
TcNote 5,dB,PRB,kHz,,,dBm / SCSPRS,dBm/BW
± [78++ℇ],-3,≥[24],15,≥[4],"NR_FDD_FR1_A, NR_TDD_FR1_A,NR_SDL_FR1_A",-121,-50
,,,,,"NR_FDD_FR1_B, NR_TDD_FR1_B",-120.5,
,,,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",-120,
,,,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",-119.5,
,,,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",-119,
,,,,,NR_FDD_FR1_F,-118.5,
,,,,,"NR_FDD_FR1_G, NR_TDD_FR1_G, NR_SDL_FR1_G",-118,
,,,,,NR_FDD_FR1_H,-117.5,
,,,,,NR_FDD_FR1_N,-114.5,
± [59++ℇ],,≥[52],,≥[1],Note 6,NOTE 6,NOTE 6
± [30++ℇ],,>[104],,≥[1],Note 6,NOTE 6,NOTE 6
± [57++ℇ],,≥[24],30,≥[4],"NR_FDD_FR1_A, NR_TDD_FR1_A,NR_SDL_FR1_A",-118,-50
,,,,,"NR_FDD_FR1_B, NR_TDD_FR1_B",-117.5,
,,,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",-117,
,,,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",-116.5,
,,,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",-116,
,,,,,NR_FDD_FR1_F,-115.5,
,,,,,"NR_FDD_FR1_G, NR_TDD_FR1_G, NR_SDL_FR1_G",-115,
,,,,,NR_FDD_FR1_H,-114.5,
,,,,,NR_FDD_FR1_N,-111.5,
± [30++ℇ],,≥[48],,≥[1],NOTE 6,NOTE 6,NOTE 6
± [15++ℇ],,≥[132],,≥[1],NOTE 6,NOTE 6,NOTE 6
± [29++ℇ],,≥[24],60,≥[4],"NR_FDD_FR1_A, NR_TDD_FR1_A,NR_SDL_FR1_A",-115,-50
,,,,,"NR_FDD_FR1_B, NR_TDD_FR1_B",-114.5,
,,,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",-114,
,,,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",-113.5,
,,,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",-113,
,,,,,NR_FDD_FR1_F,-113.5,
,,,,,"NR_FDD_FR1_G, NR_TDD_FR1_G, NR_SDL_FR1_G",-113,
,,,,,NR_FDD_FR1_H,-111.5,
,,,,,NR_FDD_FR1_N,-108.5,
± [15++ℇ],,≥[64],,≥[1],NOTE 6,NOTE 6,NOTE 6
± [7++ℇ],,≥[132],,≥[1],NOTE 6,NOTE 6,NOTE 6
"NOTE 1:This minimum Io condition is expressed as the average Io per RE over all REs in an OFDM symbol.NOTE 2:NR operating band groups are as defined in clause 3.5.NOTE 3: are configured by higher layer parameter dl-PRS-ResourceRepetitionFactor, dl-PRS-NumSymbols and  dl-PRS-CombSizeN defined in TS 37.355 [34].NOTE 4:The Io is defined in PRS slots. The same Io range applies to PRS and non-PRS symbols. Io levels are different in PRS and non-PRS symbols within the same slot.NOTE 5:Tc is the basic timing unit defined in TS 38.211 [6].NOTE 6:The same bands and the same Io conditions for each band apply for this requirement as for the corresponding requirement with the PRS bandwidth of the smallest PRB number for the corresponding SCS.NOTE 7:  is the margin determined from Table 10.1.39.2-3.NOTE 8: ℇ is the margin for reporting quantitization error and ℇ=16 Tc.TrepPRS, LPRS ,KcombPRS",,,,,,,
