Reported Quantity Value,Measured Quantity Value,Unit
RX-TX_TIME_DIFFERENCE_000000,TUE Rx-Tx < -985024,Tc
RX-TX_TIME_DIFFERENCE_000001,-985024  TUE Rx-Tx < -985008,Tc
RX-TX_TIME_DIFFERENCE_000002,-985008  TUE Rx-Tx < -984992,Tc
,,…
RX-TX_TIME_DIFFERENCE_061564,-16  TUE Rx-Tx < 0,Tc
RX-TX_TIME_DIFFERENCE_061565,0  TUE Rx-Tx < 16,Tc
…,…,…
RX-TX_TIME_DIFFERENCE_123127,984992  TUE Rx-Tx < 985008,Tc
RX-TX_TIME_DIFFERENCE_123128,985008  TUE Rx-Tx < 985024,Tc
RX-TX_TIME_DIFFERENCE_123129,985024  TUE Rx-Tx,Tc
