Reported Quantity Value,Measured Quantity Value,Unit
SL_RX-TX_TIME_DIFFERENCE_0000,TSL Rx-Tx < -985024,Tc
SL_RX-TX_TIME_DIFFERENCE_0001,-985024 £ TSL Rx-Tx < -984992,Tc
SL_RX-TX_TIME_DIFFERENCE_0002,-984992 £ TSL Rx-Tx < -984960,Tc
¼,¼,…
SL_RX-TX_TIME_DIFFERENCE_30782,-32 £ TSL Rx-Tx < 0,Tc
SL_RX-TX_TIME_DIFFERENCE_30783,0 £ TSL Rx-Tx < 32,Tc
…,…,…
SL_RX-TX_TIME_DIFFERENCE_61563,984960 £ TSL Rx-Tx < 984992,Tc
SL_RX-TX_TIME_DIFFERENCE_61564,984992 £ TSL Rx-Tx < 985024,Tc
SL_RX-TX_TIME_DIFFERENCE_61565,985024 £ TSL Rx-Tx,Tc
