Accuracy,Conditions,,,,,,
,PRS Ês/Iot,PRS SCS,PRS bandwidthNote 1,PRS resource repetition ()Note 2TrepPRS*LPRS/KcombPRS,Io Note 3 range,,
,,,,,NR operating band groups Note 4,Minimum Io,Maximum Io
Tc Note 5,dB,kHz,PRB,,,dBm/SCS,dBm/BWChannel
132 +ΔNote 7,(PRS Ês/Iot)j ≥-6 dB (PRS Ês/Iot)i ≥-13 dB,15,≥ 24,≥ 4,"NR_FDD_FR1_A, NR_TDD_FR1_A,NR_SDL_FR1_A",-127,-50
,,,,,"NR_FDD_FR1_B, NR_TDD_FR1_B",-126.5,-50
,,,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",-126,-50
,,,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",-125.5,-50
,,,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",-125,-50
,,,,,NR_FDD_FR1_F,-124.5,-50
,,,,,"NR_FDD_FR1_G, NR_TDD_FR1_G, NR_SDL_FR1_G",-124,-50
,,,,,NR_FDD_FR1_H,-123.5,-50
,,,,,NR_FDD_FR1_N,-120.5,-50
98 +Δ,,,≥ 52,≥ 1,Note 6,Note 6,Note 6
42 +Δ,,,≥ 104,≥ 1,Note 6,Note 6,Note 6
75 +Δ,,30,≥ 24,≥ 4,"NR_FDD_FR1_A, NR_TDD_FR1_A,NR_SDL_FR1_A",-124,-50
,,,,,"NR_FDD_FR1_B, NR_TDD_FR1_B",-123.5,-50
,,,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",-123,-50
,,,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",-122.5,-50
,,,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",-122,-50
,,,,,NR_FDD_FR1_F,-121.5,-50
,,,,,"NR_FDD_FR1_G, NR_TDD_FR1_G, NR_SDL_FR1_G",-121,-50
,,,,,NR_FDD_FR1_H,-120.5,-50
,,,,,NR_FDD_FR1_N,-117.5,-50
48 +Δ,,,≥ 48,≥ 1,Note 6,Note 6,Note 6
24 +Δ,,,≥ 132,≥ 1,Note 6,Note 6,Note 6
50 +Δ,,60,≥24,≥ 4,"NR_FDD_FR1_A, NR_TDD_FR1_A,NR_SDL_FR1_A",-121,-50
,,,,,NR_FDD_FR1_B,-120.5,-50
,,,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",-120,-50
,,,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",-119.5,-50
,,,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",-119,-50
,,,,,NR_FDD_FR1_F,-118.5,-50
,,,,,"NR_FDD_FR1_G, NR_TDD_FR1_G, NR_SDL_FR1_G",-118,-50
,,,,,NR_FDD_FR1_H,-117.5,-50
,,,,,NR_FDD_FR1_N,-114.5,-50
24 +Δ,,,≥ 64,≥ 1,Note 6,Note 6,Note 6
10 +Δ,,,≥ 132,≥ 1,Note 6,Note 6,Note 6
"NOTE 1:Minimum PRS bandwidth, which is minimum of the PRS bandwidths of resource j and resource i.NOTE 2: Minimum number of PRS resource repetitions among resource j and resource i.  are configured by higher layer parameter dl-PRS-ResourceRepetitionFactor, dl-PRS-NumSymbols and dl-PRS-CombSizeN defined in TS 37.355 [34], respectively.NOTE 3:Io is assumed to have constant EPRE across the bandwidth.NOTE 4:NR operating band groups in FR1 are as defined in clause 3.5.2.NOTE 5:Tc is the basic timing unit defined in TS 38.211 [6].NOTE 6:The same bands and the same Io conditions for each band apply for this requirement as for the corresponding requirement with the PRS bandwidth of the smallest PRB number for the corresponding SCS.NOTE 7:Δis the value of the timing error margin for the RxTx TEG, reported via nr-UE-RxTxTEG-TimingErrorMargin. Δ cannot be larger than the sum of the margins in table 10.1.25.2-5 (dependent on PRS/SRS BW) for any pair of individual UE Rx-Tx time difference measurements associated with the RxTx TEG. .TrepPRS, LPRS ,KcombPRS",,,,,,,
