Reported value,Measured quantity value,Unit
PRS_RSRP_0,PRS-RSRP<-156,dBm
PRS_RSRP_1,-156PRS-RSRP<-155,dBm
PRS_RSRP_2,-155PRS-RSRP<-154,dBm
PRS_RSRP_3,-154PRS-RSRP<-153,dBm
PRS_RSRP_4,-153PRS-RSRP<-152,dBm
PRS_RSRP_5,-152PRS-RSRP<-151,dBm
PRS_RSRP_6,-151PRS-RSRP<-150,dBm
PRS_RSRP_7,-150PRS-RSRP<-149,dBm
PRS_RSRP_8,-149PRS-RSRP<-148,dBm
PRS_RSRP_9,-148PRS-RSRP<-147,dBm
PRS_RSRP_10,-147PRS-RSRP<-146,dBm
PRS_RSRP_11,-146PRS-RSRP<-145,dBm
PRS_RSRP_12,-145PRS-RSRP<-144,dBm
PRS_RSRP_13,-144PRS-RSRP<-143,dBm
PRS_RSRP_14,-143PRS-RSRP<-142,dBm
PRS_RSRP_15,-142PRS-RSRP<-141,dBm
PRS_RSRP_16,-141PRS-RSRP<-140,dBm
PRS_RSRP_17,-140PRS-RSRP<-139,dBm
PRS_RSRP_18,-139PRS-RSRP<-138,dBm
…,…,…
PRS_RSRP_111,-46PRS-RSRP<-45,dBm
PRS_RSRP_112,-45PRS-RSRP<-44,dBm
PRS_RSRP_113,-44PRS-RSRP<-43,dBm
PRS_RSRP_114,-43PRS-RSRP<-42,dBm
PRS_RSRP_115,-42PRS-RSRP<-41,dBm
PRS_RSRP_116,-41PRS-RSRP<-40,dBm
PRS_RSRP_117,-40PRS-RSRP<-39,dBm
PRS_RSRP_118,-39PRS-RSRP<-38,dBm
PRS_RSRP_119,-38PRS-RSRP<-37,dBm
PRS_RSRP_120,-37PRS-RSRP<-36,dBm
PRS_RSRP_121,-36PRS-RSRP<-35,dBm
PRS_RSRP_122,-35PRS-RSRP<-34,dBm
PRS_RSRP_123,-34PRS-RSRP<-33,dBm
PRS_RSRP_124,-33PRS-RSRP<-32,dBm
PRS_RSRP_125,-32PRS-RSRP<-31,dBm
PRS_RSRP_126,-31PRS-RSRP,dBm
