Reported Quantity Value,Measured Quantity Value,Unit
RX-TX_TIME_DIFFERENCE_00000,TUE Rx-Tx < -985024,Tc
RX-TX_TIME_DIFFERENCE_00001,-985024  TUE Rx-Tx < -984992,Tc
RX-TX_TIME_DIFFERENCE_00002,-984992  TUE Rx-Tx < -984960,Tc
,,…
RX-TX_TIME_DIFFERENCE_30782,-32  TUE Rx-Tx < 0,Tc
RX-TX_TIME_DIFFERENCE_30783,0  TUE Rx-Tx < 32,Tc
…,…,…
RX-TX_TIME_DIFFERENCE_61563,984960  TUE Rx-Tx < 984992,Tc
RX-TX_TIME_DIFFERENCE_61564,984992  TUE Rx-Tx < 985024,Tc
RX-TX_TIME_DIFFERENCE_61565,985024  TUE Rx-Tx,Tc
