Reported value,Measured quantity value(L3 SS-RSRP) and CSI-RSRP,"Measured quantity value(L1 SS-RSRP and CSI-RSRP, P-L1-RSRP)",Unit
RSRP_0,SS-RSRP<-156,Not valid,dBm
RSRP_1,-156 SS-RSRP<-155,Not valid,dBm
RSRP_2,-155 SS-RSRP<-154,Not valid,dBm
RSRP_3,-154 SS-RSRP<-153,Not valid,dBm
RSRP_4,-153 SS-RSRP<-152,Not valid,dBm
RSRP_5,-152 SS-RSRP<-151,Not valid,dBm
RSRP_6,-151 SS-RSRP<-150,Not valid,dBm
RSRP_7,-150 SS-RSRP<-149,Not valid,dBm
RSRP_8,-149 SS-RSRP<-148,Not valid,dBm
RSRP_9,-148 SS-RSRP<-147,Not valid,dBm
RSRP_10,-147 SS-RSRP<-146,Not valid,dBm
RSRP_11,-146 SS-RSRP<-145,Not valid,dBm
RSRP_12,-145 SS-RSRP<-144,Not valid,dBm
RSRP_13,-144 SS-RSRP<-143,Not valid,dBm
RSRP_14,-143 SS-RSRP<-142,Not valid,dBm
RSRP_15,-142 SS-RSRP<-141,Not valid,dBm
RSRP_16,-141 SS-RSRP<-140,RSRP<-140,dBm
RSRP_17,-140 SS-RSRP<-139,-140RSRP<-139,dBm
RSRP_18,-139 SS-RSRP<-138,-139 RSRP<-138,dBm
…,…,,…
RSRP_111,-46≤ SS-RSRP<-45,-46 RSRP<-45,dBm
RSRP_112,-45 SS-RSRP<-44,-45 RSRP<-44,dBm
RSRP_113,-44 SS-RSRP<-43,-44 RSRP,dBm
RSRP_114,-43 SS-RSRP<-42,Not valid,dBm
RSRP_115,-42 SS-RSRP<-41,Not valid,dBm
RSRP_116,-41 SS-RSRP<-40,Not valid,dBm
RSRP_117,-40 SS-RSRP<-39,Not valid,dBm
RSRP_118,-39 SS-RSRP<-38,Not valid,dBm
RSRP_119,-38 SS-RSRP<-37,Not valid,dBm
RSRP_120,-37 SS-RSRP<-36,Not valid,dBm
RSRP_121,-36 SS-RSRP<-35,Not valid,dBm
RSRP_122,-35 SS-RSRP<-34,Not valid,dBm
RSRP_123,-34 SS-RSRP<-33,Not valid,dBm
RSRP_124,-33 SS-RSRP<-32,Not valid,dBm
RSRP_125,-32 SS-RSRP<-31,Not valid,dBm
RSRP_126,-31 SS-RSRP,Not valid,dBm
RSRP_127 (Note),Infinity,Infinity,dBm
"NOTE:The value of RSRP_127 is applicable for RSRP threshold configured by the network as defined in TS 38.331 [2], but not for the purpose of measurement reporting.",,,
