Reported Quantity Value,Measured Quantity Value,Unit
SL_RX-TX_TIME_DIFFERENCE_0000,TSL Rx-Tx < -985024,Tc
SL_RX-TX_TIME_DIFFERENCE_0001,-985024 £ TSL Rx-Tx < -985020,Tc
SL_RX-TX_TIME_DIFFERENCE_0002,-985020 £ TSL Rx-Tx < -985016,Tc
¼,¼,…
SL_RX-TX_TIME_DIFFERENCE_246256,-4 £ TSL Rx-Tx < 0,Tc
SL_RX-TX_TIME_DIFFERENCE_246257,0 £ TSL Rx-Tx < 4,Tc
…,…,…
SL_RX-TX_TIME_DIFFERENCE_492511,985016 £ TSL Rx-Tx < 985020,Tc
SL_RX-TX_TIME_DIFFERENCE_492512,985020 £ TSL Rx-Tx < 985024,Tc
SL_RX-TX_TIME_DIFFERENCE_492513,985024 £ TSL Rx-Tx,Tc
