Accuracy,Conditions,,,,,,
,PRS Ês/Iot,Minimum PRS bandwidth,"Number of samples, S",PRS SCS,NR operating band groupsNote 2,IoNote 3 range,
,,,,,,MinimumIoNote 1,MaximumIo
TcNote 4,dB,PRB,,kHz,,dBm / SCSPRS,dBm/BW
±86,-3,48,≥ 4,15,NR_TDD_FR1_B,-123.5,-50
,,,,,NR_TDD_FR1_C,-123,
,,,,,NR_FDD_FR1_G,-121,
,,,,,NR_TDD_FR1_J,-119.5,
±104,,>48,≥ 1,,NOTE 5,NOTE 5,NOTE 5
±72,,≥ 96,≥ 1,,NOTE 5,NOTE 5,NOTE 5
±84,,≥ 24,≥ 4,30,NR_TDD_FR1_B,-120.5,-50
,,,,,NR_TDD_FR1_C,-120,
,,,,,NR_FDD_FR1_G,-118,
,,,,,NR_TDD_FR1_J,-116.5,
±86,,>48,≥ 1,,NOTE 5,NOTE 5,NOTE 5
±65,,≥ 24,≥ 4,60,NR_TDD_FR1_B,-117.5,-50
,,,,,NR_TDD_FR1_C,-117,
,,,,,NR_FDD_FR1_G,-115,
,,,,,NR_TDD_FR1_J,-113.5,
NOTE 1:This minimum Io condition is expressed as the average Io per RE over all REs in an OFDM symbol.NOTE 2:NR operating band groups are as defined in Section 3.5.NOTE 3:The Io is defined in PRS slots. The same Io range applies to PRS and non-PRS symbols. Io levels are different in PRS and non-PRS symbols within the same slot.NOTE 4:Tc is the basic timing unit defined in TS 38.211 [6].NOTE 5:The same bands and the same Io conditions for each band apply for this requirement as for the corresponding requirement with the PRS bandwidth of the smallest PRB number for the corresponding SCS.,,,,,,,
