Reported Quantity Value,Measured Quantity Value,Unit
RX-TX_TIME_DIFFERENCE_00000000,TUE Rx-Tx < -985024,Tc
RX-TX_TIME_DIFFERENCE_00000001,-985024  TUE Rx-Tx < -985023.9844,Tc
RX-TX_TIME_DIFFERENCE_00000002,-985023.9844  TUE Rx-Tx < -985023.9688,Tc
,,…
RX-TX_TIME_DIFFERENCE_63041536,-0.0156  TUE Rx-Tx < 0,Tc
RX-TX_TIME_DIFFERENCE_63041537,0  TUE Rx-Tx < 0.0156,Tc
…,…,…
RX-TX_TIME_DIFFERENCE_126083071,985023.9688  TUE Rx-Tx < 985023.9844,Tc
RX-TX_TIME_DIFFERENCE_126083072,985023.9844  TUE Rx-Tx < 985024,Tc
RX-TX_TIME_DIFFERENCE_126083073,985024  TUE Rx-Tx,Tc
