Reported Quantity Value,Measured Quantity Value,Unit
RX-TX_TIME_DIFFERENCE_00000000,TUE Rx-Tx < -985024,Tc
RX-TX_TIME_DIFFERENCE_00000001,-985024  TUE Rx-Tx < -985023.9375,Tc
RX-TX_TIME_DIFFERENCE_00000002,-985023.9375  TUE Rx-Tx < -985023.875,Tc
,,…
RX-TX_TIME_DIFFERENCE_15760384,-0.0625  TUE Rx-Tx < 0,Tc
RX-TX_TIME_DIFFERENCE_15760385,0  TUE Rx-Tx < 0.0625,Tc
…,…,…
RX-TX_TIME_DIFFERENCE_31520767,985023.875  TUE Rx-Tx < 985023.9375,Tc
RX-TX_TIME_DIFFERENCE_31520768,985023.9375  TUE Rx-Tx < 985024,Tc
RX-TX_TIME_DIFFERENCE_31520769,985024  TUE Rx-Tx,Tc
