Reported Quantity Value,Measured Quantity Value,Unit
RX-TX_TIME_DIFFERENCE_000000,TUE Rx-Tx < -985024,Tc
RX-TX_TIME_DIFFERENCE_000001,-985024  TUE Rx-Tx < -985022,Tc
RX-TX_TIME_DIFFERENCE_000002,-985022  TUE Rx-Tx < -985020,Tc
,,…
RX-TX_TIME_DIFFERENCE_492512,-2  TUE Rx-Tx < 0,Tc
RX-TX_TIME_DIFFERENCE_492513,0  TUE Rx-Tx < 2,Tc
…,…,…
RX-TX_TIME_DIFFERENCE_985023,985020  TUE Rx-Tx < 985022,Tc
RX-TX_TIME_DIFFERENCE_985024,985022  TUE Rx-Tx < 985024,Tc
RX-TX_TIME_DIFFERENCE_985025,985024  TUE Rx-Tx,Tc
