Accuracy,,,,,,Conditions,,,,,,
Normal condition,,,Extreme condition,,,SRS Ês/Iot,Io Note 1 range,,,,,
,,,,,,,NR operating band groups Note 2,Minimum Io,,,,Maximum Io
dB,,,,,,dB,,dBm / SCSSRS,,,dBm/BW Channel,dBm/BW Channel
SCSSRS (kHz),,,SCSSRS (kHz),,,,,,,,,
15,30,60,15,30,60,,,SCSSRS = 15 kHz,SCSSRS = 30 kHz,SCSSRS = 60 kHz,,
3,3.5,5,7.5,8,9.5,1,"NR_TDD_FR1_A,",-120,-117,-114,N/A,-70
,,,,,,,NR_TDD_FR1_C,-119,-116,-113,N/A,-70
,,,,,,,NR_TDD_FR1_D,-118.5,-115.5,-112.5,N/A,-70
,,,,,,,NR_TDD_FR1_E,-118,-115,-112,N/A,-70
6.5,7,8.5,9.5,10,11.5,1,"NR_TDD_FR1_A,NR_TDD_FR1_C, NR_TDD_FR1_D, NR_TDD_FR1_E",N/A,N/A,N/A,-70,-50
NOTE 1:Io is assumed to have constant EPRE across the bandwidth.NOTE 2:NR operating band groups in FR1 are as defined in clause 3.5.2.,,,,,,,,,,,,
