Reported value,Measured quantity value,Unit
PRS_RSRPP_0,PRS-RSRPP<-156,dBm
PRS_RSRPP_1,-156PRS-RSRPP<-155,dBm
PRS_RSRPP_2,-155PRS-RSRPP<-154,dBm
PRS_RSRPP_3,-154PRS-RSRPP<-153,dBm
PRS_RSRPP_4,-153PRS-RSRPP<-152,dBm
PRS_RSRPP_5,-152PRS-RSRPP<-151,dBm
PRS_RSRPP_6,-151PRS-RSRPP<-150,dBm
PRS_RSRPP_7,-150PRS-RSRPP<-149,dBm
PRS_RSRPP_8,-149PRS-RSRPP<-148,dBm
PRS_RSRPP_9,-148PRS-RSRPP<-147,dBm
PRS_RSRPP_10,-147PRS-RSRPP<-146,dBm
PRS_RSRPP_11,-146PRS-RSRPP<-145,dBm
PRS_RSRPP_12,-145PRS-RSRPP<-144,dBm
PRS_RSRPP_13,-144PRS-RSRPP<-143,dBm
PRS_RSRPP_14,-143PRS-RSRPP<-142,dBm
PRS_RSRPP_15,-142PRS-RSRPP<-141,dBm
PRS_RSRPP_16,-141PRS-RSRPP<-140,dBm
PRS_RSRPP_17,-140PRS-RSRPP<-139,dBm
PRS_RSRPP_18,-139PRS-RSRPP<-138,dBm
…,…,…
PRS_RSRPP_111,-46PRS-RSRPP<-45,dBm
PRS_RSRPP_112,-45PRS-RSRPP<-44,dBm
PRS_RSRPP_113,-44PRS-RSRPP<-43,dBm
PRS_RSRPP_114,-43PRS-RSRPP<-42,dBm
PRS_RSRPP_115,-42PRS-RSRPP<-41,dBm
PRS_RSRPP_116,-41PRS-RSRPP<-40,dBm
PRS_RSRPP_117,-40PRS-RSRPP<-39,dBm
PRS_RSRPP_118,-39PRS-RSRPP<-38,dBm
PRS_RSRPP_119,-38PRS-RSRPP<-37,dBm
PRS_RSRPP_120,-37PRS-RSRPP<-36,dBm
PRS_RSRPP_121,-36PRS-RSRPP<-35,dBm
PRS_RSRPP_122,-35PRS-RSRPP<-34,dBm
PRS_RSRPP_123,-34PRS-RSRPP<-33,dBm
PRS_RSRPP_124,-33PRS-RSRPP<-32,dBm
PRS_RSRPP_125,-32PRS-RSRPP<-31,dBm
PRS_RSRPP_126,-31PRS-RSRPP,dBm
