Accuracy,,Conditions,,,,,,,
Normal condition,Extreme condition,PRS Ês/Iot,PRS BW,Repetition factor (TrepPRS*LPRS/KcombPRS),Io Note 7 range,,,,
,,,,,NR operating band groups Note 8,MinimumIo Note 1dBm / SCSPRS,,,MaximumIo
dB,dB,dB,PRB,-,,dBm / SCSPRS,,,dBm/BWChannel
,,,,,,dBm/15 kHz Note 6,dBm/30 kHz Note 6,dBm/60 kHz Note 6,
±4.1,±8.6,≥-3,≥24,All,"NR_FDD_FR1_A, NR_TDD_FR1_A, NR_SDL_FR1_A",-127,-124,-121,-50
,,,,,"NR_FDD_FR1_B, NR_TDD_FR1_B",-126.5,-123.5,-120.5,-50
,,,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",-126,-123,-120,-50
,,,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",-125.5,-122.5,-119.5,-50
,,,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",-125,-122,-119,-50
,,,,,NR_FDD_FR1_F,-124.5,-121.5,-118.5,-50
,,,,,"NR_FDD_FR1_G, NR_TDD_FR1_G, NR_SDL_FR1_G",-124,-121,-118,-50
,,,,,NR_FDD_FR1_H,-123.5,-120.5,-117.5,-50
,,,,,NR_FDD_FR1_N,-120.5,-117.5,-114.5,-50
,,,,,Note 4,,,,
,,,,,Note 4,,,,
±5.8,±10.3,≥-13,24 ≤ BW ≤ 52,All,Note 4,,,,
±4.9,±9.4,,BW > 52,All,Note 4,,,,
"NOTE 1:This minimum Io condition is expressed as the average Io per RE over all REs in an OFDM symbol.NOTE 2:Void.NOTE 3:PRS bandwidth is as indicated in prs-Bandwidth in the DL-TDOA or DL-AoD assistance data defined in [34].NOTE 4:The same bands and the same Io conditions for each band apply for this requirement as for the corresponding requirement with the PRS bandwidth ≥ 24 PRB.NOTE 5:The serving cell, the reference cell, and the measured neighbour cell i are on the same carrier frequency.NOTE 6:The condition level is increased by ∆>0, when applicable, as described in clauses B.3.2 and B.3.3.NOTE 7:The Io is defined in PRS positioning subframes. The same Io range applies to PRS and non-PRS symbols. Io levels are different in PRS and non-PRS symbols within the same subframe.NOTE 8:NR operating band groups are as defined in clause 3.5.2.",,,,,,,,,
