Reported value,Measured quantity value,Unit
DIFFRSRP_0,-30≥ΔRSRP,dB
DIFFRSRP_1,-29≥ΔRSRP>-30,dB
DIFFRSRP_2,-28≥ΔRSRP>-29,dB
DIFFRSRP_3,-27≥ΔRSRP>-28,dB
DIFFRSRP_4,-26≥ΔRSRP>-27,dB
DIFFRSRP_5,-25≥ΔRSRP>-26,dB
DIFFRSRP_6,-24≥ΔRSRP>-25,dB
DIFFRSRP_7,-23≥ΔRSRP>-24,dB
DIFFRSRP_8,-22≥ΔRSRP>-23,dB
DIFFRSRP_9,-21≥ΔRSRP>-22,dB
DIFFRSRP_10,-20≥ΔRSRP>-21,dB
DIFFRSRP_11,-19≥ΔRSRP>-20,dB
DIFFRSRP_12,-18≥ΔRSRP>-19,dB
DIFFRSRP_13,-17≥ΔRSRP>-18,dB
DIFFRSRP_14,-16≥ΔRSRP>-17,dB
…,…,…
DIFFRSRP_25,-5≥ΔRSRP>-6,dB
DIFFRSRP_26,-4≥ΔRSRP>-5,dB
DIFFRSRP_27,-3≥ΔRSRP>-4,dB
DIFFRSRP_28,-2≥ΔRSRP>-3,dB
DIFFRSRP_29,-1≥ΔRSRP>-2,dB
DIFFRSRP_30,0≥ΔRSRP>-1,dB
DIFFRSRP_31,1≥ΔRSRP>0,dB
DIFFRSRP_32,2≥ΔRSRP>1,dB
DIFFRSRP_33,3≥ΔRSRP>2,dB
DIFFRSRP_34,4≥ΔRSRP>3,dB
DIFFRSRP_35,5≥ΔRSRP>4,dB
DIFFRSRP_36,6≥ΔRSRP>5,dB
…,…,…
DIFFRSRP_47,17≥ΔRSRP>16,dB
DIFFRSRP_48,18≥ΔRSRP>17,dB
DIFFRSRP_49,19≥ΔRSRP>18,dB
DIFFRSRP_50,20≥ΔRSRP>19,dB
DIFFRSRP_51,21≥ΔRSRP>20,dB
DIFFRSRP_52,22≥ΔRSRP>21,dB
DIFFRSRP_53,23≥ΔRSRP>-22,dB
DIFFRSRP_54,24≥ΔRSRP>23,dB
DIFFRSRP_55,25≥ΔRSRP>24,dB
DIFFRSRP_56,26≥ΔRSRP>25,dB
DIFFRSRP_57,27≥ΔRSRP>26,dB
DIFFRSRP_58,28≥ΔRSRP>27,dB
DIFFRSRP_59,29≥ΔRSRP>28,dB
DIFFRSRP_60,30≥≥ΔRSRP>29,dB
DIFFRSRP_61,ΔRSRP>30,dB
