Reported Quantity Value,Measured Quantity Value,Unit
RX-TX_TIME_DIFFERENCE_0000000,TUE Rx-Tx < -985024,Tc
RX-TX_TIME_DIFFERENCE_0000001,-985024  TUE Rx-Tx < -985023.5,Tc
RX-TX_TIME_DIFFERENCE_0000002,-985023.5  TUE Rx-Tx < -985023,Tc
,,…
RX-TX_TIME_DIFFERENCE_1970048,-0.5  TUE Rx-Tx < 0,Tc
RX-TX_TIME_DIFFERENCE_1970049,0  TUE Rx-Tx < 0.5,Tc
…,…,…
RX-TX_TIME_DIFFERENCE_3940095,985023  TUE Rx-Tx < 985023.5,Tc
RX-TX_TIME_DIFFERENCE_3940096,985023.5  TUE Rx-Tx < 985024,Tc
RX-TX_TIME_DIFFERENCE_3940097,985024  TUE Rx-Tx,Tc
