Accuracy,Conditions,,,,,,
,PRS Ês/Iot,Minimum PRS bandwidth,PRS SCS,PRS resource repetition Note 3(TrepPRS*LPRS/KcombPRS,NR operating band groupsNote 2,IoNote 4 range,
,,,,,,MinimumIoNote 1,MaximumIo
TcNote 5,dB,PRB,kHz,,,dBm / SCSPRS,dBm/BW
±(89+),-3,≥24,15,≥4,"NR_FDD_FR1_A, NR_TDD_FR1_A,NR_SDL_FR1_A",-127,-50
,,,,,"NR_FDD_FR1_B,NR_TDD_FR1_B",-126.5,
,,,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",-126,
,,,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",-125.5,
,,,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",-125,
,,,,,NR_FDD_FR1_F,-124.5,
,,,,,"NR_FDD_FR1_G, NR_TDD_FR1_G, NR_SDL_FR1_G",-124,
,,,,,NR_FDD_FR1_H,-123.5,
,,,,,NR_FDD_FR1_N,-120.5,
±(51+),,≥52,,≥1,NOTE 6,NOTE 6,NOTE 6
±(25+),,104,,≥1,NOTE 6,NOTE 6,NOTE 6
±(49+),,≥24,30,≥4,"NR_FDD_FR1_A, NR_TDD_FR1_A,NR_SDL_FR1_A",-124,-50
,,,,,"NR_FDD_FR1_B,NR_TDD_FR1_B",-123.5,
,,,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",-123,
,,,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",-122.5,
,,,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",-122,
,,,,,NR_FDD_FR1_F,-121.5,
,,,,,"NR_FDD_FR1_G, NR_TDD_FR1_G, NR_SDL_FR1_G",-121,
,,,,,NR_FDD_FR1_H,-120.5,
,,,,,NR_FDD_FR1_N,-117.5,
±(27+),,48,,≥1,NOTE 6,NOTE 6,NOTE 6
±(27+),,24,60,≥4,"NR_FDD_FR1_A, NR_TDD_FR1_A,NR_SDL_FR1_A",-121,-50
,,,,,"NR_FDD_FR1_B,NR_TDD_FR1_B",-120.5,
,,,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",-120,
,,,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",-119.5,
,,,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",-119,
,,,,,NR_FDD_FR1_F,-118.5,
,,,,,"NR_FDD_FR1_G, NR_TDD_FR1_G, NR_SDL_FR1_G",-118,
,,,,,NR_FDD_FR1_H,-117.5,
,,,,,NR_FDD_FR1_N,-114.5,
±(98+),-13,≥24,15,≥4,NOTE 6,NOTE 6,NOTE 6
±(61+),,≥52,,≥1,NOTE 6,NOTE 6,NOTE 6
±(32+),,104,,≥1,NOTE 6,NOTE 6,NOTE 6
±(55+),,≥24,30,≥4,NOTE 6,NOTE 6,NOTE 6
±(34+),,48,,≥1,NOTE 6,NOTE 6,NOTE 6
±(31+),,24,60,≥4,NOTE 6,NOTE 6,NOTE 6
"NOTE 1:This minimum Io condition is expressed as the average Io per RE over all REs in an OFDM symbol.NOTE 2:NR operating band groups are as defined in Section 3.5.NOTE 3: are configured by higher layer parameter dl-PRS-ResourceRepetitionFactor, dl-PRS-NumSymbols and dl-PRS-CombSizeN defined in TS 37.355 [34].NOTE 4:The Io is defined in PRS slots. The same Io range applies to PRS and non-PRS symbols. Io levels are different in PRS and non-PRS symbols within the same slot.NOTE 5:Tc is the basic timing unit defined in TS 38.211 [6].NOTE 6:The same bands and the same Io conditions for each band apply for this requirement as for the corresponding requirement with the PRS bandwidth of the smallest PRB number for the corresponding SCS.NOTE 7:  is the margin determined from table 10.1A.18.2.2-3.TrepPRS, LPRS ,KcombPRS",,,,,,,
