Reported value,Measured quantity value (difference in measured SINR from largest SINR),Unit
DIFFSINR_0,0≥ΔSINR>-1,dB
DIFFSINR_1,-1≥ΔSINR>-2,dB
DIFFSINR_2,-2≥ΔSINR>-3,dB
DIFFSINR_3,-3≥ΔSINR>-4,dB
DIFFSINR_4,-4≥ΔSINR>-5,dB
DIFFSINR_5,-5≥ΔSINR>-6,dB
DIFFSINR_6,-6≥ΔSINR>-7,dB
DIFFSINR_7,-7≥ΔSINR>-8,dB
DIFFSINR_8,-8≥ΔSINR>-9,dB
DIFFSINR_9,-9≥ΔSINR>-10,dB
DIFFSINR_10,-10≥ΔSINR>-11,dB
DIFFSINR_11,-11≥ΔSINR>-12,dB
DIFFSINR_12,-12≥ΔSINR>-13,dB
DIFFSINR_13,-13≥ΔSINR>-14,dB
DIFFSINR_14,-14≥ΔSINR>-15,dB
DIFFSINR_15,-15≥ΔSINR,dB
