Reported Quantity Value,Measured Quantity Value,Unit
RX-TX_TIME_DIFFERENCE_000000,TUE Rx-Tx < -985024,Tc
RX-TX_TIME_DIFFERENCE_000001,-985024  TUE Rx-Tx < -985020,Tc
RX-TX_TIME_DIFFERENCE_000002,-985020  TUE Rx-Tx < -985016,Tc
,,…
RX-TX_TIME_DIFFERENCE_246256,-4  TUE Rx-Tx < 0,Tc
RX-TX_TIME_DIFFERENCE_246257,0  TUE Rx-Tx < 4,Tc
…,…,…
RX-TX_TIME_DIFFERENCE_492511,985016  TUE Rx-Tx < 985020,Tc
RX-TX_TIME_DIFFERENCE_492512,985020  TUE Rx-Tx < 985024,Tc
RX-TX_TIME_DIFFERENCE_492513,985024  TUE Rx-Tx,Tc
