Reported Quantity Value,Measured Quantity Value,Unit
RX-TX_TIME_DIFFERENCE_00000000,TUE Rx-Tx < -985024,Tc
RX-TX_TIME_DIFFERENCE_00000001,-985024  TUE Rx-Tx < -985023.875,Tc
RX-TX_TIME_DIFFERENCE_00000002,-985023.875  TUE Rx-Tx < -985023.75,Tc
,,…
RX-TX_TIME_DIFFERENCE_07880192,-0.125  TUE Rx-Tx < 0,Tc
RX-TX_TIME_DIFFERENCE_07880193,0  TUE Rx-Tx < 0.125,Tc
…,…,…
RX-TX_TIME_DIFFERENCE_15760383,985023.75  TUE Rx-Tx < 985023.875,Tc
RX-TX_TIME_DIFFERENCE_15760384,985023.875  TUE Rx-Tx < 985024,Tc
RX-TX_TIME_DIFFERENCE_15760385,985024  TUE Rx-Tx,Tc
