Accuracy,,Conditions,,,,,,,,
Normal condition,Extreme condition,PRS Ês/Iot,PRS BWNote 2,Repetition factor (TrepPRS*LPRS/KcombPRS),Io Note 6 range,,,,,
,,,,,NR operating band groups Note 5,MinimumIo Note 1dBm / SCSPRS,,,,MaximumIo
dB,dB,dB,PRB,,,dBm / SCSPRS,,,,dBm/BWChannel
,,,,,,dBm/15kHz Note 4,,dBm/30kHz Note 4,dBm/60kHz Note 4,
±3.5,±8,≥0,≥48,All,"NR_FDD_FR1_A, NR_TDD_FR1_A, NR_SDL_FR1_A",-127,-124,,-121,-50
,,,,,"NR_FDD_FR1_B,NR_TDD_FR1_B",-126.5,-123.5,,-120.5,-50
,,,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",-126,-123,,-120,-50
,,,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",-125.5,-122.5,,-119.5,-50
,,,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",-125,-122,,-119,-50
,,,,,NR_FDD_FR1_F,-124.5,-121.5,,-118.5,-50
,,,,,"NR_FDD_FR1_G, NR_TDD_FR1_G, NR_SDL_FR1_G",-124,-121,,-118,-50
,,,,,NR_FDD_FR1_H,-123.5,-120.5,,-117.5,-50
,,,,,NR_FDD_FR1_N,-120.5,-117.5,,-114.5,-50
±4,±8.5,≥-6,48 ≤ BW ≤ 52,All,Note 3,,,,,
±4,±8.5,,52< BW≤ 104,All,Note 3,,,,,
±3.5,±8,,BW >104,All,Note 3,,,,,
"NOTE 1:This minimum Io condition is expressed as the average Io per RE over all REs in an OFDM symbol.NOTE 2:PRS bandwidth is as indicated in dl-PRS-ResourceBandwidth in the DL-TDOA or DL-AoD or multi-RTT assistance data defined in TS 37.355 [34].NOTE 3:The same bands and the same Io conditions for each band apply for this requirement as for the corresponding requirement with the PRS bandwidth ≥ 48 PRB.NOTE 4:The condition level is increased by ∆>0, when applicable, as described in Sections B.3.2 and B.3.3.NOTE 5:NR operating band groups are as defined in Section 3.5.2.",,,,,,,,,,
