Reported Quantity Value,Measured Quantity Value,Unit
RX-TX_TIME_DIFFERENCE_000000,TUE Rx-Tx < -985024,Tc
RX-TX_TIME_DIFFERENCE_000001,-985024  TUE Rx-Tx < -985016,Tc
RX-TX_TIME_DIFFERENCE_000002,-985016  TUE Rx-Tx < -985008,Tc
,,…
RX-TX_TIME_DIFFERENCE_123128,-8  TUE Rx-Tx < 0,Tc
RX-TX_TIME_DIFFERENCE_123129,0  TUE Rx-Tx < 8,Tc
…,…,…
RX-TX_TIME_DIFFERENCE_246255,985008  TUE Rx-Tx < 985016,Tc
RX-TX_TIME_DIFFERENCE_246256,985016  TUE Rx-Tx < 985024,Tc
RX-TX_TIME_DIFFERENCE_246257,985024  TUE Rx-Tx,Tc
