Gap Pattern Id,"MeasurementGap Length (MGL, ms)","Measurement Gap Repetition Period(MGRP, ms)","Minimum available time for inter-frequency and inter-RAT measurements during 480 ms period(Tinter1_RedCap, ms)"
0,6,40,60
1,6,80,30
2,3,40,24Note 1
3,3,80,12Note 1
4,6,20,120 Note 1
6,4,20,"72 Note 1,3,6"
7,4,40,"36 Note 1,4,6"
8,4,80,"18Note 1,5,6"
10,3,20,48 Note 1
"NOTE 1:When determining UE requirements using Tinter1_RedCap for gap pattern IDs 2, 3, 4, 6, 7, 8, 10, Tinter1_RedCap = 60 for gap pattern IDs 2, 4, 6, 7, 10, and Tinter1_RedCap = 30 for gap pattern IDs 3 and 8 shall be used.NOTE 2:Measurement gaps pattern configurations applicability is as specified in Table 9.1A.2-2.NOTE 3:When this gap pattern is used, the Tinter1_RedCap for E-UTRA inter-frequency measurements is 48 ms corresponding to the first 3 ms of the 4 ms gap.NOTE 4:When this gap pattern is used, the Tinter1_RedCap for E-UTRA inter-frequency measurements is 24 ms corresponding to the first 3 ms of the 4 ms gap.NOTE 5:When this gap pattern is used, the Tinter1_RedCap for E-UTRA inter-frequency measurements is 12 ms corresponding to the first 3 ms of the 4 ms gap.NOTE 6:This gap pattern is applicable for E-UTRA inter-frequency measurements only if gap based NR measurements are also configured.",,,
