Measurement gap pattern configuration,Serving cell,Measurement PurposeNote 5,Applicable Gap Pattern Id
Per-UE,"E-UTRA + FR1, or","non-NR RAT Note1,2","0,1,2,3"
Measurement gap,"E-UTRA + FR2, or E-UTRA + FR1 + FR2","FR1 and/or FR2 Note 6,7","0-11, 24, 25"
,,"non-NR RATNote1,2 and FR1 and/or FR2 Note 6,7","0, 1, 2, 3, 4, 6, 7, 8,10, 24"
,"E-UTRA and, FR1 if configured","non-NR RAT Note1,2","0,1,2,3"
,FR2 if configured,,No gap
,"E-UTRA and, FR1 if configured","FR1 only Note 6,7","0-11,24,25"
,FR2 if configured,,No gap
,"E-UTRA and, FR1 if configured","FR2 only Note 6,7",No gap
Per-FR,FR2 if configured,,12-25
measurement gap,"E-UTRA and, FR1 if configured","non-NR RAT Note1,2 and FR1 Note 6,7","0, 1, 2, 3, 4, 6, 7, 8,10,24"
,FR2 if configured,,No gap
,"E-UTRA and, FR1 if configured","FR1 and FR2 Note 6,7","0-11,24,25"
,FR2 if configured,,12-25
,"E-UTRA and, FR1 if configured","non-NR RAT Note1,2 and FR2 Note 6,7","0, 1, 2, 3, 4, 6, 7, 8,10,24"
,FR2 if configured,,12-25
,"E-UTRA and, FR1 if configured","Non-NR RAT Note1,2 and FR1 and FR2Note 6,7","0, 1, 2, 3, 4, 6, 7, 8,10,24"
,FR2 if configured,,12-25
"NOTE:In E-UTRA-NR dual connectivity mode, if GSM or UTRA TDD or UTRA FDD inter-RAT frequency layer is configured to be monitored, only measurement gap pattern #0 and #1 can be used for per-FR gap in E-UTRA and FR1 if configured, or for per-UE gap. In NR-E-UTRA dual connectivity mode, if UTRA FDD inter-RAT frequency layer is configured to be monitored for SRVCC, only measurement gap pattern #0 and #1 can be used for per-FR gap in E-UTRA and FR1 if configured, or for per-UE gap.NOTE 1:In E-UTRA-NR dual connectivity mode, non-NR RAT includes E-UTRA, UTRA and/or GSM. In NR-E-UTRA dual connectivity mode, non-NR RAT means E-UTRA, and UTRA for SRVCC.NOTE 2:VoidNOTE 3:When E-UTRA inter-frequency RSTD measurements are configured and the UE requires measurement gaps for performing such measurements, only Gap Pattern #0 can be used.NOTE 4:For UE supporting supportedGapPattern-NRonly-NEDC or measGapPatterns-NRonly-ENDC-r16 but not supporting supportedGapPattern for the corresponding gap patterns among GP2-11, the corresponding gap patterns are not applicable to measurement of non-NR RATs as defined in NOTE 1.NOTE 5:Inclusion of positioning measurements: Measurement purpose which includes E-UTRA measurements includes also E-UTRA RSRP and E-UTRA RSRQ measurements for E-CID.NOTE 6:Measurement gap patterns #24 and #25 can be requested [2] only when the UE is configured at least with any of RSTD, UE Rx-Tx, PRS-RSRP, PRS-RSRPP, RSCP or RSCPD measurements requiring such gaps and can only be used during the corresponding positioning measurement periodNOTE 7:Inclusion of positioning measurements for measurement gaps: Measurement purpose which includes any of FR1 and FR2 measurements includes also RSTD, UE Rx-Tx, PRS-RSRP, PRS-RSRPP, RSCP and RSCPD measurements.",,,
