NCSG Pattern Id,"Measurement Length (ML, ms)","Visible Interruption Repetition Period(VIRP, ms)","Minimum available time for inter-frequency and inter-RAT measurements during 480 ms period(Tinter1, ms)"
0,5,40,60
1,5,80,30
2,2,40,24Note 1
3,2,80,12Note 1
4,5,20,120 Note 1
6,3,20,"72 Note 1,3"
7,3,40,"36 Note 1,3"
8,3,80,"18Note 1,3"
10,2,20,48 Note 1
"NOTE 1:When determining UE requirements using Tinter1 for NCSG pattern IDs 2, 3, 4, 6, 7, 8, 10, Tinter1 = 60 for NCSG pattern IDs 2, 4, 6, 7, 10, and Tinter1 = 30 for NCSG pattern IDs 3 and 8 shall be used.NOTE 2:NCSG pattern configurations applicability is as specified in Table 9.1.2C-1.NOTE 3:This NCSG pattern is applicable for E-UTRA inter-frequency measurements only if NCSG based NR measurements are also configured.",,,
