NCSG pattern configuration,Serving cell,Measurement Purpose NOTE 2,Applicable NCSG Pattern Id
,"FR1, orFR1 + FR2",E-UTRA,"0,1,2,3"
,,FR1 and/or FR2,0-11
,,E-UTRA and FR1 and/or FR2,"0, 1, 2, 3, 4, 6, 7, 8,10"
Per-UE NCSG,FR2,E-UTRA only,"0,1,2,3"
,,FR1 only,0-11
,,FR1 and FR2,0-11
,,E-UTRA and FR1 and/or FR2,"0, 1, 2, 3, 4, 6, 7, 8,10"
,,FR2 only,12-23
,FR1 if configured,E-UTRA only,"0,1,2,3"
,FR2 if configured,,No gap
,FR1 if configured,FR1 only,0-11
,FR2 if configured,,No gap
,FR1 if configured,FR2 only,No gap
Per-FR NCSG,FR2 if configured,,12-23
,FR1 if configured,E-UTRA and,"0, 1, 2, 3, 4, 6, 7, 8,10"
,FR2 if configured,FR1,No gap
,FR1 if configured,FR1 and FR2,0-11
,FR2 if configured,,12-23
,FR1 if configured,E-UTRA and,"0, 1, 2, 3, 4, 6, 7, 8,10"
,FR2 if configured,FR2,12-23
,FR1 if configured,E-UTRA and FR1 and FR2,"0, 1, 2, 3, 4, 6, 7, 8,10"
,FR2 if configured,,12-23
"NOTE 1:When E-UTRA inter-RAT RSTD measurements are configured and the UE requires NCSG for performing such measurements, only NCSG Pattern #0 can be used.NOTE 2:Measurement purpose which includes E-UTRA measurements includes also inter-RAT E-UTRA RSRP and RSRQ measurements for E-CID.NOTE 3:If per-UE NCSG is configured with MG timing advance of TMG ms, the NCSG starts at time TMG ms advanced to the end of the latest subframe occurring immediately before the configured NCSG among all serving cells subframes.If per-FR NCSG for FR1 is configured with MG timing advance of TMG ms, the NCSG for FR1 starts at time TMG ms advanced to the end of the latest subframe occurring immediately before the configured NCSG among serving cells subframes in FR1.If per-FR NCSG for FR2 is configured with MG timing advance of TMG ms, the NCSG for FR2 starts at time TMG ms advanced to the end of the latest subframe occurring immediately before the configured NCSG among serving cells subframes in FR2.TMG is the MG timing advance value provided in mgta according to [2].In determining the NCSG starting point, UE shall use the DL timing of the latest subframe occurring immediately before the configured NCSG among serving cells.NOTE 4:For UE only supporting ncsg-MeasGapNR-Patterns-r17 for any NCSG patterns among NCSG pattern # 2-11, the corresponding NCSG patterns are not applicable to measurement of E-UTRA.",,,
