NR,Total number of interrupted slots on serving cells,,,,,,,,,
SCS,When MG timing advance of 0 ms is applied,,,,,When MG timing advance of 0.5 ms is applied,,,,
(kHz),MGL=20 ms,MGL=10 ms,MGL=6 ms,MGL=4 ms,MGL=3 ms,MGL=20 ms,MGL=10 ms,MGL=6 ms,MGL=4 ms,MGL=3 ms
15,20,10,6,4,3,21Note3,11Note3,7Note3,5Note3,4Note3
30,40,20,12,8,6,40,20,12,8,6
60,80,40,24,16,12,80,40,24,16,12
120,160,80,48,32,24,160,80,48,32,24
480 Note4,640,320,192,128,96,640,320,192,128,96
480 Note5,641,321,193,129,97,641,321,193,129,97
960 Note4,1280,640,384,256,192,1280,640,384,256,192
960 Note5,1281,641,385,257,193,1281,641,385,257,193
"NOTE 1:VoidNOTE 2:NR SCSs of 120 kHz, 480 kHz and 960 kHz are only applicable to the case with per-UE measurement gap.NOTE 3:Non-overlapped half-slots occur before and after the measurement gap. Whether a Rel-15 UE can receive and/or transmit in those half-slots is up to UE implementation.NOTE 4:For NR SCSs of 480 kHz and 960 kHz, total number of interrupted slots on all serving cells during MGL for single carrier, intra-band NR CA with per-UE measurement gap.NOTE 5:For NR SCSs of 480 kHz and 960 kHz, total number of interrupted slots on all serving cells in SCG for inter-band NR-CA and synchronous NR-DC with per-UE measurement gap.",,,,,,,,,,
