Change history,,,,,,,
Date,TSG #,TSG Doc.,CR,Rev,Subject/Comment,Old,New
02/10/06,-,-,-,,Draft version created,-,0.0.0
11/10/06,-,-,-,,Minor editorial updates for RAN1#46bis,0.0.0,0.0.1
13/10/06,-,-,-,,Endorsed skeleton,0.0.1,0.1.0
27/02/07,-,-,-,,Update after TSG RAN WG1 #48,0.1.0,0.1.1
05/03/07,-,-,-,,RAN1 endorsed version,0.1.1,0.2.0
03/05/07,-,-,-,,Update after TSG RAN WG1#48bis,0.2.0,0.2.1
08/03/07,-,-,-,,RAN WG1#49 endorsed version,0.2.1,0.3.0
31/05/07,RAN#36,RP-070490,-,,Presented for information at RAN#36,0.3.0,1.0.0
21/06/07,-,-,-,,Update after TSG RAN #36,1.0.0,1.0.1
25/06/07,-,-,-,,TSG RAN WG1#49bis endorsed version,1.0.1,1.1.0
17/08/07,-,-,-,,Update after TSG RAN WG1#48bis,1.1.0,1.1.1
20/08/07,-,-,-,,TSG RAN WG1#50 endorsed version,1.1.1,1.2.0
10/09/07,RAN#37,RP-070732,-,,For approval at RAN#37,1.2.0,2.0.0
12/09/07,RAN_37,RP-070732,-,-,Approved version,2.0.0,8.0.0
28/11/07,RAN_38,RP-070949,0001,1,RRC state correction for LTE UE measurements,8.0.0,8.1.0
05/03/08,RAN_39,RP-080145,0003,1,Inclusion of agreements from RAN1#51bis and RAN1#52,8.1.0,8.2.0
28/05/08,RAN_40,RP-080435,0004,-,Introduction of eNode B Measurement of Received Interference Power,8.2.0,8.3.0
28/05/08,RAN_40,RP-080435,0005,-,Introduction of eNode B Measurement of Thermal Noise Power,8.2.0,8.3.0
09/09/08,RAN_41,RP-080671,0006,-,Modification to the RSRP definition,8.3.0,8.4.0
09/09/08,RAN_41,RP-080671,0007,-,Modification of RSRQ definition and removal of RSSI,8.3.0,8.4.0
03/12/08,RAN_42,RP-080985,0008,-,RSRQ Measurement Definition,8.4.0,8.5.0
04/03/09,RAN_43,RP-090237,0009,-,RSRP and RSRQ Definitions with Receiver Diversity,8.5.0,8.6.0
15/09/09,RAN_45,RP-090888,0010,,Clarification on reference point of RSRP and RSRQ for EUTRA,8.6.0,8.7.0
01/12/09,RAN_46,RP-091172,0011,1,Introduction of LTE positioning,8.7.0,9.0.0
16/03/10,RAN_47,RP-100205,0012,1,Modification of RSRQ definition,9.0.0,9.1.0
01/06/10,RAN_48,RP-100590,0014,-,On alignment of RAN1/2 positioning specification,9.1.0,9.2.0
01/06/10,RAN_48,RP-100590,0015,1,Clarification of RSTD measurement,9.1.0,9.2.0
07/12/10,RAN_50,-,-,-,Creation of Rel-10 specification,9.2.0,10.0.0
15/03/11,RAN_51,RP-110258,0016,-,RSRQ Measurement with ABS,10.0.0,10.1.0
04/09/12,RAN_57,RP-121273,0018,4,UL Relative Time of Arrival,10.1.0,11.0.0
04/12/12,RAN_58,RP-121837,0019,1,Correcting inconsistency between inter-RAT UTRA measurements and requirements,11.0.0,11.1.0
10/09/14,RAN_65,RP-141484,0022,2,Inclusion of definition of WLAN Beacon RSSI in LTE specifications,11.1.0,12.0.0
08/12/14,RAN_66,RP-142105,0020,1,Introduction of MBSFN radio measurement,12.0.0,12.1.0
08/12/14,RAN_66,RP-142106,0023,3,Measurement definitions for measurements with discovery signals,12.0.0,12.1.0
09/03/15,RAN_67,RP-150361,0021,2,New E-UTRA RSRQ measurement definition,12.1.0,12.2.0
09/03/15,RAN_67,RP-150366,0026,2,Inclusion of measurement for ProSe,12.1.0,12.2.0
07/12/15,RAN_70,RP-152125,0027,1,eD2D CR for 36.214,12.2.0,13.0.0
07/12/15,RAN_70,RP-152035,0028,2,Introduction of RS-SINR measurement for Multicarrier Load Distribution,12.2.0,13.0.0
07/12/15,RAN_70,RP-152026,0029,1,Introduction of LAA,12.2.0,13.0.0
07/12/15,RAN_70,RP-152032,0030,-,Introduction of SSTD for dual connectivity enhancement,12.2.0,13.0.0
