"""Reception Type""",Physical Channel(s),MonitoredRNTI,AssociatedTransport Channel
A,NPBCH,N/A,BCH
B,NPDCCH (Note 2),C-RNTI,N/A
C,NPDCCH,P-RNTI,PCH
D,NPDCCH,RA-RNTI (Note 1),DL-SCH
,,Temporary C-RNTI (Note 1),
D1,NPDCCH (Note 3),SC-RNTI,DL-SCH
,,G-RNTI,DL-SCH
E,NPDSCH,N/A,DL-SCH
F,NPDCCH,C-RNTI,DL-SCH
G,NPDCCH,C-RNTI,UL-SCH
H,NWUS,N/A,N/A
I,NPDCCH,Semi-Persistent Scheduling C-RNTI (Note 4),N/A
J,NPDCCH,Semi-Persistent Scheduling C-RNTI,UL-SCH
K,NPDCCH (Note 5),PUR-RNTI,N/A
L,NPDCCH,PUR-RNTI,DL-SCH
M,NPDCCH,PUR-RNTI,UL-SCH
Note 1:RA-RNTI and Temporary C-RNTI are mutually exclusive and only applicable during Random Access procedure.Note 2:NPDCCH is used to convey PDCCH order for Random Access.Note 3:SC-RNTI and G-RNTI are not required to be simultaneously monitored.Note 4:Semi-Persistent Scheduling C-RNTI is used for releasing SR with SPS BSR.Note 5:NPDCCH is used to terminate transmission using PUR.,,,
