"""Reception Type""",Physical Channel(s),MonitoredRNTI,AssociatedTransport Channel
A,PBCH,N/A,BCH
B,MPDCCH (Note 1),C-RNTI,N/A
B1,MPDCCH (Note 10),C-RNTI,N/A
C,MPDCCH,TPC-PUCCH-RNTI,N/A
D,MPDCCH,TPC-PUSCH-RNTI,N/A
D1,MPDCCH (Note 7),SC-RNTI,DL-SCH
,,G-RNTI,DL-SCH
E,MPDCCH,Semi-Persistent Scheduling C-RNTI (Note 2),N/A
F,MPDCCH,Semi-Persistent Scheduling C-RNTI (Note 3),N/A
G,MPDCCH (Note 4),RA-RNTI,DL-SCH
,,Temporary C-RNTI,UL-SCH
,,Temporary C-RNTI,DL-SCH
,,P-RNTI,PCH
H,PDSCH (Note 5),SI-RNTI,DL-SCH
,,P-RNTI,PCH
,,Temporary C-RNTI,DL-SCH
,,RA-RNTI,DL-SCH
H1,PDSCH (Note 7),SC-RNTI,DL-SCH
,,G-RNTI,DL-SCH
H2,PDSCH,PUR-RNTI,DL-SCH
I,MPDCCH,Temporary C-RNTI (Note 6),UL-SCH
,,C-RNTI and Semi-Persistent Scheduling C-RNTI,UL-SCH
J,MPDCCH,C-RNTI and Semi-Persistent Scheduling C-RNTI,DL-SCH
K,PDSCH (Note 5),C-RNTI and Semi-Persistent Scheduling C-RNTI,DL-SCH
L,MWUS,N/A,N/A
M,MPDCCH (Note 8),SI-RNTI,N/A
N,MPDCCH (Note 9),PUR-RNTI,N/A
O,MPDCCH,PUR-RNTI,DL-SCH
P,MPDCCH,PUR-RNTI,UL-SCH
"Note 1:MPDCCH is used to convey PDCCH order for Random Access.Note 2:Semi-Persistent Scheduling C-RNTI is used for DL Semi-Persistent Scheduling release.Note 3:Semi-Persistent Scheduling C-RNTI is used for UL Semi-Persistent Scheduling release.Note 4:RA-RNTI, P-RNTI, and Temporary C-RNTI are not required to be simultaneously monitored.Note 5:All RNTIs listed in the reception type are mutually exclusive.Note 6:Temporary C-RNTI is only applicable during contention-based Random Access procedure.Note 7:SC-RNTI and G-RNTI are not required to be simultaneously monitored.Note 8:MPDCCH with SI-RNTI is used for ETWS/CMAS notification indication in RRC_CONNECTED, which is not applicable for BL UE.Note 9:MPDCCH is used to terminate transmission using PUR.Note 10:MPDCCH is used to convey uplink HARQ ACK feedback.",,,
