Parameter,Unit,Value,Comment
RF Channel Number,,"1, 2","Two NR radio channels are used for this test. RF channel number 1 is in band 1 and RF channel number 2 is in band 2, where bands 1 and 2 are inter-band CA operating bands in FR2 as specified in Table 5.2A.2-1 in TS 38.101-2 [19]."
Active PCell,,Cell 1,PCell on NR RF channel number 1.
Configured PUCCH SCell,,Cell 2,Configured PUCCH SCell on NR RF channel number 2.
CP length,,Normal,
DRX in connected mode,,OFF,DRX is not used
DRX in idle mode,s,0.32,The value shall be used for all cells in the test.
CQI/PMI periodicity and offset configuration index,,0,CQI reporting for SCell every second subframe
Cell-individual offset for cells on NR channel number,dB,0,Individual offset for cells on primary component carrier.
TimeAlignmentTimer for sTAG,ms,5120,Set for UE has not valid TA at start of T2 based on T1 = 7 s.
SCell measurement cycle (measCycleSCell),ms,160,
Cell 2 timing offset to Cell 1,s,≤ 8,A random value from 0s to 8s
Filter coefficient,,0,L3 filtering is not used
measIdleValidityDuration-r18,s,5,Applicable and configured when UE supporting measValidationReportEMR-r18 is tested in this test.
measReselectionValidityDuration-r18,s,5,Applicable and configured when UE supporting measValidationReportReselectionMeasurements is tested in this test.
measIdleDuration-r16,s,60,Value for timer T331 for UE performing idle/inactive measurements while in RRC_IDLE or RRC_INACTIVE.
THARQ,ms,k1NR slot length×,"k1 is a number of slots and is indicated by the PDSCH-to-HARQ-timing-indicator field in the DCI format, if present, or provided by dl-DataToUL-ACK, the value of k1 should be the minimum value defined in TS 38.213 [3] depends on UE’s capability"
TCSI_Reporting,ms,2,the delay uncertainty in acquiring the first available CSI reporting resources as specified in TS 38.331 [2]
T1,s,5,During this time the PCell is connected to the UE
T2,s,11.52,During this time the UE shall perform Idle Mode CA measurement.
T3,s,5,During this time the UE have the validation of sending measurement report.
T4,s,2,During this time the UE shall send a valid measurement report
T5,s,1,During this time the UE shall activate the PUCCH SCell.
