ParameterNote 5,,Unit,Cell 1,,,,Cell 2,,
,,,T1,T2,,,,T1,T2
SSB ARFCN,,,Freq1,,,,Freq2,,
Duplex mode,Config 1,,FDD,,,,TDD,,
,"Config 2,3",,TDD,,,,,,
TDD configuration,Config 1,,Not Applicable,,,TDDConf.3.1,,,
,Config 2,,TDDConf.1.1,,,,,,
,Config 3,,TDDConf.2.1,,,,,,
Downlink initial BWP Configuration,"Config 1,2,3",,DLBWP.0.1,,,,,,
Downlink dedicated BWP Configuration,"Config 1,2,3",,DLBWP.1.1,,,,,,
Uplink initial BWP configuration,"Config 1,2,3",,ULBWP.0.1,,,,,,
Uplink dedicated BWP configuration,"Config 1,2,3",,ULBWP.1.1,,,,,,
TRS configuration,"Config 1,2,3",,N/A,,,,TRS.2.1 TDD,,
TCI state,"Config 1,2,3",,TCI.State.0,,,,,,
BWchannel,"Config 1,2",MHz,"10: NPRB,c = 52",,,,"100: NPRB,c = 66",,
,Config 3,,"40: NPRB,c = 106",,,,,,
Data PRBs allocated,"Config 1,2",,52,66,52,,66,52,66
,Config 3,,106,,106,,,106,
PDSCH Reference measurement channel,Config 1,,SR.1.1 FDD,,,,-,,
,Config 2,,SR.1.1 TDD,,,,,,
,Config 3,,SR.2.1 TDD,,,,,,
RMSI CORESET Parameters,Config 1,,CR.1.1 FDD,,,,-,,
,Config 2,,CR.1.1 TDD,,,,,,
,Config 3,,CR.2.1 TDD,,,,,,
Dedicated CORESET Parameters,Config 1,,CCR.1.1 FDD,,,,-,,
,Config 2,,CCR.1.1 TDD,,,,,,
,Config 3,,CCR.2.1 TDD,,,,,,
OCNG Patterns,,,OP.1,,,,,,
SSB configuration,"Config 1,2",,SSB.1 FR1,,,,SSB.3 FR2,,
,Config 3,,SSB.2 FR1,,,,,,
CSI-RS configuration for CSI reporting,Config 1~3,,N/A,,,,N/A,CSI-RS.3.1 TDD Note 6,CSI-RS.3.1 TDD
reportConfigType for CSI reporting,,,periodic,,,,N/A,,
reportConfigType for L1-RSRP,,,periodic,,,,N/A,,
reportQuantity for CSI reporting,,,cri-RI-PMI-CQI,,,,N/A,,
reportQuantity for L1-RSRP,,,ssb-Index-RSRP,,,,N/A,,
CSI reporting periodicity,"Config 1,2",slot,5,,,,N/A,,
,Config 3,,10,,,,,,
L1-RSRP reporting periodicity Note 7,"Config 1,2",slot,5,,,,N/A,,
,Config 3,,10,,,,,,
CSI reporting offset,"Config 1,2",slot,2,,,,N/A,,
,Config 3,,4,,,,,,
L1-RSRP reporting offset,"Config 1,2",slot,2,,,,N/A,,
,Config 3,,4,,,,,,
SMTC configuration,,,SMTC.1,,,,,,
EPRE ratio of PSS to SSS,,dB,0,,,,,,
EPRE ratio of PBCH_DMRS to SSS,,,,,,,,,
EPRE ratio of PBCH to PBCH_DMRS,,,,,,,,,
EPRE ratio of PDCCH_DMRS to SSS,,,,,,,,,
EPRE ratio of PDCCH to PDCCH_DMRS,,,,,,,,,
EPRE ratio of PDSCH_DMRS to SSS,,,,,,,,,
EPRE ratio of PDSCH to PDSCH_DMRS,,,,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,,,,
Propagation conditions,,,"N/ALink only, see clause A.3.7A",,,AWGN,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:VoidNOTE 3:VoidNOTE 4:VoidNOTE 5: All parameters apply for configuration 1, 2 and 3NOTE 6:CSI-RS for CSI measurement is (re)configured in the next DL slot after slot m+TL1-RSRP during T2.NOTE 7:L1-RSRP measurement and reporting are configured to the the UE prior to the start of time period T1.",,,,,,,,,
