Parameter,Unit,Test 1,
,,T1,T2
Angle of arrival configuration,,Setup 1 according to clause A.3.15.1,
Assumption for UE beams Note 6,,Fine,
Note 1,dBm/15kHzNote 4,-112,
Note 1,dBm/SCSNote 3,-103,
,dB,4,
SS-RSRP Note 2,dBm/SCS Note 4,-99,
,dB,4,
IoNote2,dBm/95.04 MHz Note 4,-68.5,
NOTE 1:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 4:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone.NOTE 5:As observed with 0 dBi gain antenna at the centre of the quiet zone.NOTE 6:Information about types of UE beam is given in clause B.2.1.3 and does not limit UE implementation or test system implementation.,,,
