ParameterNote 5,Unit,Cell 1,,,Cell 2,,
,,T1,T2,,T1,,T2
SSB ARFCN,,freq1,,,freq2,,
Duplex mode,,TDD,,,,,
TDD configuration,,TDDConf.3.1,,,,,
Downlink initial BWP Configuration,,DLBWP.0.1,,,,,
Downlink dedicated BWP Configuration,,DLBWP.1.1,,,,,
Uplink initial BWP configuration,,ULBWP.0.1,,,,,
Uplink dedicated BWP configuration,,ULBWP.1.1,,,,,
TRS configuration,,TRS.2.1 TDD,,,,,
TCI state,,TCI.State.0,,,,,
BWchannel,MHz,"100: NPRB,c = 66",,,,,
Data PRBs allocated,,66,,66,,66,
PDSCH Reference measurement channel,,SR.3.1 TDD,,,-,,
RMSI CORESET Parameters,,CR.3.1 TDD,,,-,,
Dedicated CORESET Parameters,,CCR.3.1 TDD,,,-,,
OCNG Patterns,,OP.1,,,,,
SSB Configuration,,SSB.1 FR2,,,,,
Aperiodic CSI-RS for SCell activation,,TRS.2.3 TDD,,,,,
gapBetweenBursts,Slot,N/A,,,,,
SMTC Configuration,,SMTC.1,,,,,
CSI-RS configuration for CSI reporting,,CSI-RS.3.1 TDD,,,,,
reportConfigType,,periodic,,,N/A,,
reportQuantity,,cri-RI-PMI-CQI,,,N/A,,
CSI reporting periodicity,slot,40,,,N/A,,
CSI reporting offset,slot,4,,,N/A,,
EPRE ratio of PSS to SSS,dB,0,,,,,
EPRE ratio of PBCH_DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH_DMRS,,,,,,,
EPRE ratio of PDCCH_DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH_DMRS,,,,,,,
EPRE ratio of PDSCH_DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH_DMRS,,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,,
Propagation conditions,,AWGN,,,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:VoidNOTE 3:VoidNOTE 4:VoidNOTE 5: Void,,,,,,,
