ParameterNote 5,,,Unit,Cell 1,,,,,,,Cell 2,,,,,,
,,,,T1,T2,T3,T4,,T5,T6,T1,T2,,T3,T4,T5,T6
SSB ARFCN,,,,Freq1,,,,,,,Freq2,,,,,,
Duplex mode,,Config 1,,FDD,,,,,,,TDD,,,,,,
,,"Config 2,3",,TDD,,,,,,,,,,,,,
TDD configuration,,Config 1,,Not Applicable,,,,,,,TDDConf.3.1,,,,,,
,,Config 2,,TDDConf.1.1,,,,,,,,,,,,,
,,Config 3,,TDDConf.2.1,,,,,,,,,,,,,
Downlink initial BWP Configuration,,"Config 1,2,3",,DLBWP.0.1,,,,,,,,,,,,,
Downlink dedicated BWP Configuration,,"Config 1,2,3",,DLBWP.1.1,,,,,,,,,,,,,
Uplink initial BWP configuration,,"Config 1,2,3",,ULBWP.0.1,,,,,,,,,,,,,
Uplink dedicated BWP configuration,,"Config 1,2,3",,ULBWP.1.1,,,,,,,,,,,,,
TRS configuration,,"Config 1,2,3",,N/A,,,,,,,TRS.2.1 TDD,,,,,,
TCI state,,"Config 1,2,3",,TCI.State.0,,,,,,,,,,,,,
BWchannel,,"Config 1,2",MHz,"10: NPRB,c = 52",,,,,,,"100: NPRB,c = 66",,,,,,
,,Config 3,,"40: NPRB,c = 106",,,,,,,,,,,,,
PDSCH Reference measurement channel,,Config 1,,SR.1.1 FDD,,,,,,,-,,,,,,
,,Config 2,,SR.1.1 TDD,,,,,,,,,,,,,
,,Config 3,,SR.2.1 TDD,,,,,,,,,,,,,
RMSI CORESET Parameters,,Config 1,,CR.1.1 FDD,,,,,,,-,,,,,,
,,Config 2,,CR.1.1 TDD,,,,,,,,,,,,,
,,Config 3,,CR.2.1 TDD,,,,,,,,,,,,,
Dedicated CORESET Parameters,,Config 1,,CCR.1.1 FDD,,,,,,,-,,,,,,
,,Config 2,,CCR.1.1 TDD,,,,,,,,,,,,,
,,Config 3,,CCR.2.1 TDD,,,,,,,,,,,,,
OCNG Patterns,,,,OP.1,,,,,,,,,,,,,
SSB configuration,,"Config 1,2",,SSB.1 FR1,,,,,,,SSB.3 FR1,,,,,,
,,Config 3,,SSB.2 FR1,,,,,,,,,,,,,
CSI-RS configuration for CSI reporting,,Config 1~3,,N/A,,,,,,,CSI-RS.3.1 TDD,,,,,,
reportConfigType for CSI reporting,,,,periodic,,,,,,,N/A,,,,,,
reportConfigType for L1-RSRP,,,,periodic,,,,,,,N/A,,,,,,
reportQuantity for CSI reporting,,,,cri-RI-PMI-CQI,,,,,,,N/A,,,,,,
reportQuantity for L1-RSRP,,,,ssb-Index-RSRP,,,,,,,N/A,,,,,,
CSI reporting periodicity,,"Config 1,2",slot,5,,,,,,,N/A,,,,,,
,,Config 3,,10,,,,,,,,,,,,,
L1-RSRP reporting periodicity Note 7,,"Config 1,2",slot,5,,,,,,,N/A,,,,,,
,,Config 3,,10,,,,,,,,,,,,,
CSI reporting offset,,"Config 1,2",slot,2,,,,,,,N/A,,,,,,
,,Config 3,,4,,,,,,,,,,,,,
L1-RSRP reporting offset,,"Config 1,2",slot,2,,,,,,,N/A,,,,,,
,,Config 3,,4,,,,,,,,,,,,,
SMTC configuration,,,,SMTC.1,,,,,,,,,,,,,
TimeAlignmentTimer,,,,Infinity,,,,,,,,,,,,,
EPRE ratio of PSS to SSS,,,dB,0,,,,,,,,,,,,,
EPRE ratio of PBCH_DMRS to SSS,,,,,,,,,,,,,,,,,
EPRE ratio of PBCH to PBCH_DMRS,,,,,,,,,,,,,,,,,
EPRE ratio of PDCCH_DMRS to SSS,,,,,,,,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH_DMRS,,,,,,,,,,,,,,,,,
EPRE ratio of PDSCH_DMRS to SSS,,,,,,,,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH_DMRS,,,,,,,,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,,,,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,,,,,,,,,,,,
Propagation conditions,,,,AWGN,,,,,,,AWGN,,,,,,
Scheduling request resource priodicity,,,ms,N/A,,,,,,,20,,,,,,
Note2,,,dBm/15kHz,-98,,,,,,,-98,,,,,,
Note2,"Config 1,2",,dBm/SCS,-98,,,,,,,-98,,,,,,
,Config 3,,,-95,,,,,,,-95,,,,,,
,,,dB,4,,,,4,,,-Infinity,,5,,,,
,,,dB,4,,,,4,,,-Infinity,,5,,,,
SSB_RP,"Config 1,2",,dBm/SCS,-94,,,,-94,,,-Infinity,,-90,,,,
,Config 3,,dBm/SCS,-91,,,,-91,,,-Infinity,,-63.85,,,,
IoNote3,"Config 1,2",,dBm/9.36 MHz,-64.59,,,,-64.59,,,-70.05,,-57.75,,,,
,Config 3,,dBm/38.16 MHz,-58.49,,,,-58.49,,,-63.94,,-57.75,,,,
Propagation condition,,,-,AWGN,,,,,,,AWGN,,,,,,
