Parameter,Unit,Value,Comment
RF Channel Number,,"1,2","Two NR radio channels are used for this test. RF channel number 1 is in band 1 and RF channel number 2 is in band 2, where bands 1 and 2 are inter-band CA operating bands in FR2 as specified in Table 5.2A.2-1 in TS 38.101-2 [19]."
Active PCell,,Cell 1,Primary cell on NR RF channel number 1.
Configured deactivated SCell,,Cell 2,Configured deactivated secondary cell on NR RF channel number 2.
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
CQI/PMI periodicity and offset configuration index,,0,CQI reporting for SCell every second subframe
Cell-individual offset for cells on NR channel number,dB,0,Individual offset for cells on primary component carrier.
SCell measurement cycle (measCycleSCell),ms,160,
Cell 2 timing offset to cell1,s,≤8,A random value from 0s to 8s
T331,s,30,
T1,s,10,During this time UE connects to PCell and early measurement report on the carrier frequency of Cell 2 is configured.
T2,s,30,During this time UE is in RRC_IDLE state and Cell 2 becomes detectable.
T3,s,5,During this time UE determines the validity of reported idle/inactive and reselection measurements.
T4,s,1,During this time UE shall send a valid measurement report with SSB index of Cell 2 to the PCell.
T5,s,4,During this time SCell (Cell 2) is configured via RRC signalling.
T6,s,1,During this time UE completes the activation of SCell (Cell 2).
Filter coefficient,,0,L3 filtering is not used
measIdleValidityDuration-r18,s,5,Applicable and configured when UE supporting measValidationReportEMR-r18 is tested in this test.
measReselectionValidityDuration-r18,s,5,Applicable and configured when UE supporting measValidationReportReselectionMeasurements is tested in this test.
measIdleDuration-r16,s,60,Value for timer T331 for UE performing idle/inactive measurements while in RRC_IDLE or RRC_INACTIVE.
PRACH configuration index,,102,The detailed configuration is specified in TS 38.211 clause 6.3.3.2.
THARQ,ms,k1NR slot length×,"k1 is a number of slots and is indicated by the PDSCH-to-HARQ-timing-indicator field in the DCI format, if present, or provided by dl-DataToUL-ACK, the value of k should be the minimum value defined in TS 38.213 [3] depends on UE’s capability"
TCSI_Reporting,ms,10,the delay uncertainty in acquiring the first available CSI reporting resources as specified in TS 38.331 [2]
