Parameter,,Unit,Value,Comment
RF Channel Number,,,"1, 2","Two NR radio channels are used for this test, cell 1 and cell2 use RF channel 1 and 2, respectively."
Initial,Active PCell,,Cell 1,PCell on RF channel number 1.
Condition,Deactivated PSCell,,Cell 2,To be activated PSCell on RF channel number 2.
Final,Active PCell,,Cell 1,PCell on RF channel number 1.
Condition,Activated PSCell,,Cell 2,PSCell activated on RF channel number 2.
DRX,,,OFF,Continuous monitoring of primary cell
Scheduling request resource priodicity,,,20 ms,"At the starting of period T6, UE sends a SR on PUCCH for PSCell"
T1,,s,1,During this time the PSCell is deactivated
T2,,s,1,During this time the TE activated the PSCell
T3,,s,0.5,During this time the PSCell is activated
T4,,s,0.5,During this time the TE deactivate the PSCell
T5,,s,1,"During this time, PSCell and TCI state shall be known the TE activate the Pscell"
