Parameter,,Unit,Value,Comment
RF Channel Number,,,"1, 2, 3",Three NR radio channels are used for this test.
Initial,Active serving cells,,Cell 1,Cell 1: NR PCell on RF channel number 1
Condition,Neighbour cell,,"Cell 2,Cell 3",Cell 2:NR PSCell on RF channel number 2Neighbour cell on RF channel number 3
Final,Active serving cells,,"Cell 1, Cell 3",Cell 1: PCell on RF channel number 1Cell 3:NR PSCell on RF channel number 3
Condition,Neighbour Cell,,Cell 2,Neighbour cell on RF channel number 2.
A4,Hysteresis,dB,0,Hysteresis for evaluation of event A4.
,Threshold RSRP,dBm,-118,A4 event is used to trigger conditional PSCell addition of Cell 2 and Cell 3
,Time to Trigger,s,0,
DRX,,,OFF,Continuous monitoring of primary cell
Gap pattern ID,,,gp0,
PRACH configuration on cell2 and cell3,,,FR2 configuration 2,Captured in A.3.8.3.2
Cell-individual offset for cells on RF channel number 1,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,dB,0,Individual offset for cells on carrier frequency of cell2.
Cell-individual offset for cells on RF channel number 3,,dB,0,Individual offset for cells on carrier frequency of cell3.
T1,,s,1,"UE is connected to Cell 1 (NR PCell) on radio channel 1, but is not aware of Cell 2 (NR PSCell 1) on radio channel 2 and Cell 3 (NR PSCell 2) on radio channel 3"
T2,,s,<7,During this time PSCell 1 meets the PSCell addition condition and the UE adds the PSCell (cell 2).
T3,,s,1,During this time the UE releases the PSCell (cell 2).
T4,,s,<7,During this time PSCell 2 meets the PSCell addition condition and the UE adds the PSCell (cell 3).
