Parameter,Unit,Value,Comment
NR RF Channel Number,,1,One NR radio channel is used for this test
Active PCell,,Cell 1,PCell on RF channel number 1.
CP length,,Normal,
DRX,,OFF,
L1-RSRP reporting period,slot,160,Periodic L1-RSRP reporting configured
L1-RSRP measured RS,,"SSB0 and SSB1 of TRP0, SSB2 and SSB3 of TRP1","L1-RSRP measurements of SSB0, SSB1 SSB2 and SSB3."
Number of RS for L1-RSRP reporting,,4,"four source RSs in TCI state 0,1, 2,3."
Cell 2 timing offset to cell1,us,<CP,
T1,s,0.2,
T2,s,1,
