Parameter,,Unit,Test 1,,,,
,,,T1,T2,T3,T4,T5
AoA Setup,,,Setup1 defined in A.3.15.1,,,,
Assumption for UE beams Note 10,,,Rough,,,,
EPRE ratio of PDCCH DMRS to SSS,,dB,0,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,dB,,,,,
EPRE ratio of PBCH DMRS to SSS,,dB,,,,,
EPRE ratio of PBCH to PBCH DMRS,,dB,,,,,
EPRE ratio of PSS to SSS,,dB,,,,,
EPRE ratio of PDSCH DMRS to SSS,,dB,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,dB,,,,,
EPRE ratio of OCNG DMRS to SSS,,dB,,,,,
EPRE ratio of OCNG to OCNG DMRS,,dB,,,,,
SSB index assigned as BFD RS (q0),Config 1-4,,0,0,Note 12,,
SSB index assigned as CBD RS (q1),Config 1-4,,1,1,1,1,1
SNR of SSB index 0,Config 1-2,dB,5Note 11,-3Note 11,-12,-12,-12
SNR of SSB index 1,Config 1-2,dB,0.2,0.2,20.2,20.2,20.2
SSB_RP of SSB index 1,Config 1,dBm/SCS,-104.5,-104.5,-84.5,-84.5,-84.5
,Config 2,,-101.5,-101.5,-81.5,-81.5,-81.5
,Config 1-2,dBm/120 kHz,-104.7,,,,
Propagation condition,,,TDL-A 30 ns 75 Hz,,,,
"NOTE 1:OCNG shall be used such that the resources in Cell 1 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:The uplink resources for CSI reporting are assigned to the UE prior to the start of time period T1.NOTE 3:NZP CSI-RS resource set configuration for CSI reporting are assigned to the UE prior to the start of time period T1.NOTE 4:VoidNOTE 5:The timers and layer 3 filtering related parameters are configured prior to the start of time period T1.NOTE 6:The signal contains PDCCH for UEs other than the device under test as part of OCNG.NOTE 7:SNR levels correspond to the signal to noise ratio over the SSS REs.NOTE 8:The SNR in time periods T1, T2, T3, T4 and T5 is denoted as SNR1, SNR2 and SNR3 respectively in figure A.7.5.5.5.1-1.NOTE 9:The SNR values are specified for testing a UE which supports 2RX on at least one band. For testing of a UE which supports 4RX on all bands, the SNR during T3 is modified as specified in clause A.3.6.NOTE 10:Information about types of UE beam given in clause B.2.1.3 and does not limit UE implementation or test system implementationNOTE 11:This value allows up to 1 dB degradation from applied SNR to UE baseband.NOTE 12:BFD RS (q0) is configured as SSB index 0 at the start of T3, and it is reconfigured by RRC as SSB index 1 after the UE transmits the preamble on a beam associated with the candidate beam set q1.",,,,,,,
