Parameter,Unit,Value,Comment
NR RF Channel Number,,1,One NR radio channel is used for this test
Active PCell,,Cell 1,PCell on RF channel number 1.
Cell with additional PCI,,Cell 2,Neighbour cell on RF channel number 1.
CP length,,Normal,
DRX,,OFF,
L1-RSRP reporting period,slot,160,Periodic L1-RSRP reporting configured
L1-RSRP measured RS,,"SSB0 of Cell 1, SSB1 of Cell 2",L1-RSRP measurements of SSB0 and SSB1.
Number of RS for L1-RSRP reporting,,2,Two source RSs in TCI state 0 and 1.
Cell 2 timing offset to cell1,us,<CP,
T1,s,0.2,
T2,s,2,
