Parameter,Unit,Config,Cell 1,Cell 2
Frequency Range,,"1,2,3",FR2-2,FR2-2
Duplex mode,,"1,2,3",TDD,
TDD configuration,,1,TDDConf.3.1,
,,2,TBD,
,,3,TBD,
BWchannel,,1,"100 MHz: NPRB,c = 66",
,,2,"400 MHz: NPRB,c = 66",
,,3,"400 MHz: NPRB,c = 33",
Active BWP ID,,"1,2,3",0,0
Downlink initial BWP Configuration,,"1,2,3",DLBWP.0.2,
Uplink initial BWP Configuration,,"1,2,3",ULBWP.0.2,N/A
Downlink active BWP-0 Configuration,,"1,2,3",DLBWP.0.2,N/A
Downlink active BWP-1 Configuration,,"1,2,3",N/A,DLBWP.1.1
Downlink active BWP-2 Configuration,,"1,2,3",N/A,DLBWP.1.3
Uplink active BWP-0 Configuration,,"1,2,3",ULBWP.0.2,N/A
Uplink active BWP-1 Configuration,,"1,2,3",N/A,N/A
Uplink active BWP-2 Configuration,,"1,2,3",N/A,N/A
PDSCH Reference measurement channel,,1,SR.3.1 TDD,
,,2,TBD,
,,3,TBD,
TRS configuration,,1,TRS.2.1 TDD,
,,2,TBD,
,,3,TBD,
TCI state,,"1,2,3",TCI.State.0,
RMSI CORESET parameters,,1,CR.3.1 TDD,
,,2,TBD,
,,3,TBD,
Dedicated CORESET parameters,,1,CCR.3.1 TDD,
,,2,TBD,
,,3,TBD,
OCNG Patterns,,"1,2,3",OP.1,
SSB Configuration,,1,SSB.1 FR2,
,,2,TBD,
,,3,TBD,
SMTC Configuration,,"1,2,3",SMTC.1,
Correlation Matrix and Antenna Configuration,,,1x2 Low,
EPRE ratio of PSS to SSS,dB,,0,0
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,
Propagation Condition,,,AWGN,AWGN
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,,
