Parameter,,Unit,Cell 1,,,Cell 2,,,Cell 3,,
,,,T1,T2,T3,T1,T2,T3,T1,T2,T3
SSB ARFCN,,,freq1,,,freq2,,,freq3,,
Duplex mode,"Config 1,2",,TDD,,,,,,,,
TDD configuration,"Config 1,2",,TDDConf.3.1,,,,,,,,
Downlink initial BWP Configuration,"Config 1,2",,DLBWP.0.1,,,,,,,,
Downlink dedicated BWP Configuration,"Config 1,2",,DLBWP.1.1,,,,,,,,
Uplink initial BWP configuration,"Config 1,2",,ULBWP.0.1,,,,,,,,
Uplink dedicated BWP configuration,"Config 1,2",,ULBWP.1.1,,,,,,,,
TRS configuration,"Config 1,2",,TRS.2.1 TDD,,,,,,,,
TCI state,"Config 1,2",,TCI.State.0,,,,,,,,
PUCCH Spatial Relation,"Config 1,2",,PUCCH.SRI.0,,,PUCCH.SRI.0,,,N/A,,
BWchannel,"Config 1,2",MHz,"100: NPRB,c = 66",,,,,,,,
PDSCH Reference measurement channel,"Config 1,2",,SR.3.1 TDD,,,SR.3.1 TDD,,,-,,
RMSI CORESET Reference Channel,"Config 1,2",,CR.3.1 TDD,,,-,,,-,,
Dedicated CORESET Parameters,"Config 1,2",,CCR.3.1 TDD,,,CCR.3.1 TDD,,,-,,
TimeAlignmentTimer for pTAG,"Config 1,2",,ms500,,,N/A,,,N/A,,
TimeAlignmentTimer for sTAG,Config 1,,N/A,,,N/A,,,N/A,,
,Config 2,,N/A,,,ms500,,,N/A,,
CSI-RS configuration for CSI reporting,"Config 1,2",,-,,,N/A,CSI-RS.3.1 TDDNote 6,,N/A,CSI-RS.3.1 TDDNote 6,
SSB configuration,"Config 1,2",,SSB.3 FR2,,,N/A,SSB.3 FR2,,N/A,SSB.3 FR2,
CSI reporting periodicity,"Config 1,2",ms,5,,,5,,,N/A,,
reportConfigType for CSI reporting,"Config 1,2",,-,,,Periodic,,,N/A,,
reportConfigType for L1-RSRP,"Config 1,2",,periodic,,,-,,,N/A,,
reportQuantity for CSI reporting,"Config 1,2",,-,,,cri-RI-PMI-CQI,,,-,,
reportQuantity for L1-RSRP,"Config 1,2",,ssb-Index-RSRP,,,-,,,N/A,,
CSI reporting periodicity,"Config 1,2",,-,,,40,,,40,,
L1-RSRP reporting periodicity Note 7,"Config 1,2",,40,,,-,,,N/A,,
CSI reporting offset,"Config 1,2",,-,,,4,,,4,,
L1-RSRP reporting offset,"Config 1,2",,4,,,-,,,N/A,,
OCNG Patterns,,,OP.1,,,,,,,,
SMTC configuration,,,SMTC.1,,,,,,,,
EPRE ratio of PSS to SSS,,dB,0,,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,,,
Propagation condition,,-,AWGN,,,,,,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:VoidNOTE 3:VoidNOTE 4:VoidNOTE 5: VoidNOTE 6:CSI-RS for CSI measurement is (re)configured in the next DL slot after slot m+TL1-RSRP during T2.NOTE 7:L1-RSRP measurement and reporting are configured to the the UE prior to the start of time period T1.,,,,,,,,,,,
