Parameter,Unit,Cell 1,Cell 2,Cell 3,
Frequency Range,,FR2,,,
NR RF channel,,1,2,3,
Duplex mode,,TDD,,,
TDD configuration,,TDDConf.3.1,,,
BWchannel,MHz,"100: NPRB,c = 66",,,
Active Downlink BWP ID,,0,"1, 2","3, 4",
Downlink initial BWP Configuration,,DLBWP.0.2,DLBWP.0.2,DLBWP.0.2,
Uplink initial BWP Configuration,,ULBWP.0.2,ULBWP.0.2,ULBWP.0.2,
Downlink active BWP-0 Configuration,,DLBWP.1.1,---,---,
Downlink active BWP-1 Configuration,,---,DLBWP.1.1,---,
Downlink active BWP-2 Configuration,,---,DLBWP.1.3,---,
Downlink active BWP-3 Configuration,,---,---,DLBWP.1.1,
Downlink active BWP-4 Configuration,,---,---,DLBWP.1.3,
Uplink active BWP-0 Configuration,,ULBWP.1.1,ULBWP.1.1,ULBWP.1.1,
PDSCH Reference measurement channel,,SR.3.1 TDD,,,
TRS configuration,,TRS.2.1 TDD,,,
TCI state,,TCI.State.0,,,
RMSI CORESET parameters,,CR.3.1 TDD,,,
Dedicated CORESET parameters,,CCR.3.1 TDD,,,
OCNG Patterns,,OP.1,,,
SSB Configuration,,SSB.3 FR2,,,
SMTC Configuration,,SMTC.1,,,
EPRE ratio of PSS to SSS,dB,0,0,0,
EPRE ratio of PBCH DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,
EPRE ratio of OCNG DMRS to SSS Note1,,,,,
EPRE ratio of OCNG to OCNG DMRS Note1,,,,,
Propagation Condition,,AWGN,AWGN,AWGN,
Correlation Matrix and Antenna Configuration,,1x2 Low,1x2 Low,1x2 Low,
NOTE 1:OCNG shall be used such that  all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,,,
