Parameter,Unit,Value,Comment
RF Channel Number,,"1,2","Two NR radio channels (1,2) in FR2 are used for this test"
Active PCell,,Cell 1,Primary cell on NR RF channel number 1.
Configured and activated SCell,,Cell 2,Configured and activated SCell on NR RF channel number 2.
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
SCell measurement cycle (measCycleSCell),ms,160,
T1,s,7,"During this time the measurement for Cell 2 is configured, and Cell 2 is detected."
T2,s,Ndirect,During this time the UE shall configure and activate Cell 2 as SCell.
T3,ms,100,During this time the UE shall report valid CQI for both PCell and SCell.
A3-offset,dB,-15,
THARQ,ms,k1NR slot length×,"k1 is a number of slots indicated by the PDSCH-to-HARQ_feedback timing indicator field in a corresponding DCI format or provided by dl-DataToUL-ACK if the PDSCH-to-HARQ feedback timing field is not present in the DCI format, the value is defined in  38.213 [3]"
k,slot,,As specified in clause 4.3 of TS 38.213 [3]
