Parameter,Unit,Value,Comment
RF Channel Number,,"1,2","Two NR radio channels are used for this test. RF channel number 1 is in band 1 and RF channel number 2 is in band 2, where bands 1 and 2 are inter-band CA operating bands in FR2 as specified in Table 5.2A.2-1 in TS 38.101-2 [19]."
Active PCell,,Cell 1,Primary cell on NR RF channel number 1.
Configured deactivated SCell,,Cell 2,Configured deactivated secondary cell on NR RF channel number 2.
CP length,,Normal,
DRX,,DRX.8,DRX Configuration 8: DRX cycle = 320 ms and TAT = infinity as specified in A.3.3.8
CQI/PMI periodicity and offset configuration index,,0,CQI reporting for SCell every second subframe
Cell-individual offset for cells on NR channel number,dB,0,Individual offset for cells on primary component carrier.
SCell measurement cycle (measCycleSCell),ms,160,
Cell 2 timing offset to cell1,ms,≤8,A random value from 0 ms to 8 ms
T1,ms,100,During this time the PCell shall be known and the SCell is configured but not detected.
T2,s,2 or 12,"During this time the UE shall activate the SCell. Depends on the UE capability, T2= 2 s for the case where DRX is not applicable. T2= 12 s for the case where DRX is applicable."
T3,s,1,During this time the UE shall deactivate the SCell.
THARQ,ms,k1NR slot length×,"k1 is a number of slots and is indicated by the PDSCH-to-HARQ-timing-indicator field in the DCI format, if present, or provided by dl-DataToUL-ACK, the value of k should be the minimum value defined in TS 38.213 [3] depends on UE’s capability"
X1,,"1,2,4,6 (Default 8)",Optionally signaled by the UE capabilities as part of beamSweepingFactorReduction-r18:
X2,,"0,1,2,3,4,5,6,7 (Default 8)",Optionally signaled by the UE capabilities as part of beamSweepingFactorReduction-r18:
