Parameter,,Unit,Cell 1,,,,,,Cell 2,,,,,
,,,T1,T2,T3,T4,T5,T6,T1,T2,T3,T4,T5,T6
NR RF Channel Number,,,1,,,,,,2,,,,,
Duplex mode,,,TDD,,,,,,TDD,,,,,
TDD configuration,,,TDDConf.3.1,,,,,,TDDConf.3.1,,,,,
BWchannel,,MHz,"100: NPRB,c = 66",,,,,,"100: NPRB,c = 66",,,,,
BWP BW,,MHz,"100: NPRB,c = 66",,,,,,"100: NPRB,c = 66",,,,,
BWP configuration,Initial DL BWP,,DLBWP.0.1,,,,,,DLBWP.0.1,,,,,
,Initial UL BWP,,ULBWP.0.1,,,,,,ULBWP.0.1,,,,,
,Dedicated DL BWP,,DLBWP.1.1,,,,,,DLBWP.1.1,,,,,
,Dedicated UL BWP,,ULBWP.1.1,,,,,,ULBWP.1.1,,,,,
TRS configuration,,,TRS.2.1 TDD,,,,,,TRS.2.1 TDD,,,,,
TCI state,,,TCI.State.0,,,,,,TCI.State.0,,,,,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,,OP.1,,,,,,OP.1,,,,,
PDSCH Reference measurement channel,,,SR.3.1 TDD,,,,,,NA,,,,,
RMSI CORESET Parameters,,,CR.3.1 TDD,,,,,,NA,,,,,
Dedicated CORESET Parameters,,,CCR.3.1 TDD,,,,,,NA,,,,,
CSI-RS configuration,,,NA,,,,,,CSI-RS.3.1 TDD Note 2,,,,,
CSI reporting periodicity Note 3,,,NA,,,,,,5,,,,,
SSB parameters,,,SSB.1 FR2,,,,,,SSB.1 FR2,,,,,
SMTC configuration defined in A.3.11,,,SMTC.1,,,,,,SMTC.1,,,,,
EPRE ratio of PSS to SSS,,,0,,,,,,0,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,,,,,,
Propagation Condition,,,AWGN,,,,,,AWGN,,,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:CSI-RS for CSI measurement is (re)configured in the next DL slot after slot n+ TFirstSSB_MAX + 15*TSMTC_MAX during T2.NOTE 3:L1-RSRP measurement and reporting are configured to the the UE prior to the start of time period T1.,,,,,,,,,,,,,,
