Parameter,,TestConfig.,Unit,Value,Comment
,,,,Test 1,
Active PCell,,"1,2,3",,Cell 1,
RF Channel Number,,"1,2,3",,1,
Duplex mode,,"1,2,3",,TDD,
TDD Configuration,,"1,2,3",,TDDConf.3.1,
BWchannel,,1,,"100: NPRB,c = 66",
,,2,,"400: NPRB,c = 66",
,,3,,"400: NPRB,c = 33",
Data PRBs allocated,,1,,66,
,,2,,66,
,,3,,33,
PDSCH/PDCCH subcarrier spacing,,1,kHz,120,
,,2,kHz,480,
,,3,kHz,960,
DL initial BWP configuration,,"1,2,3",,DLBWP.0.1,
DL dedicated BWP configuration,,"1,2,3",,DLBWP.1.1,
UL initial BWP configuration,,"1,2,3",,ULBWP.0.1,
UL dedicated BWP configuration,,"1,2,3",,ULBWP.1.1,
PDSCH Reference Channel,,"1,2,3",,SR.3.2 TDD,
RMSI CORESET Reference Channel,,"1,2,3",,CR.3.1 TDD,
Dedicated CORESET Reference Channel,,"1,2,3",,CCR.3.1 TDD,
OCNG parameters,,"1,2,3",,OP.1,
CP length,,"1,2,3",,Normal,
PDSCH/PDCCH TCI state,,"1,2,3",,TCI.State.0,
CSI-RS for tracking,,"1,2,3",,TRS.2.1 TDD,
SSB Configuration,,"1,2,3",,SSB.1 FR2,
SMTC Configuration,,"1,2,3",,SMTC.3,
PRACH Configuration,,"1,2,3",,FR2 PRACH configuration 4,A.3.8.3.4
DRX configuration,,"1,2,3",,OFF,
CSI-RS configuration for BFD/CBD/RLM,,"1,2,3",,CSI-RS.3.2 TDD,A.3.14.2
CSI-RS index assigned as BFD RS (q0),,"1,2,3",,0,
CSI-RS index assigned as CBD RS (q1),,"1,2,3",,1,
CSI-RS index assigned as RLM RS,,"1,2,3",,"0,1",
Beam failure detection transmission parameters,DCI format,"1,2,3",,1-0,
,Number of Control OFDM symbols,"1,2,3",,2,
,Aggregation level,"1,2,3",CCE,8,
,Ratio of hypothetical PDCCH RE energy to average SSS RE energy,"1,2,3",dB,0,
,Ratio of hypothetical PDCCH DMRS energy to average SSS RE energy,"1,2,3",dB,0,
,DMRS precoder granularity,"1,2,3",,REG bundle size,
,REG bundle size,"1,2,3",,6,
Gap pattern ID,,"1,2,3",,N/A,
rlmInSyncOutOfSyncThreshold,,"1,2,3",,absent,Value 0 is applied. (Table 8.1.1-1).
rsrp-ThresholdSSB,,"1,2,3",dBm/SCS,-95,Threshold used for Qin_LR_SSB
powerControlOffsetSS,,"1,2,3",,db0,Used for deriving rsrp-ThresholdCSI-RS
beamFailureInstanceMaxCount,,"1,2,3",,n1,"see TS 38.321 [7], clause 5.17"
beamFailureDetectionTimer,,"1,2,3",,pbfd4,"see TS 38.321 [7], clause 5.17"
CSI-RS configuration for CSI reporting,,"1,2,3",,CSI-RS.3.1 TDD,A.3.14.2
reportConfigType,,"1,2,3",,periodic,
reportQuantity,,"1,2,3",,cri-RI-PMI-CQI,
CSI reporting periodicity,,"1,2,3",slot,40,
CSI reporting offset,,"1,2,3",slot,4,
T310,,"1,2,3",ms,1000,
N310,,"1,2,3",,2,
T1,,"1,2,3",s,1,The UE shall be fully synchronized to cell 1 during T1
T2,,"1,2,3",s,1.17,
T3,,"1,2,3",s,0.9,
T4,,"1,2,3",s,0,
T5,,"1,2,3",s,0.31,
D1,,"1,2,3",s,0.27,
NOTE 1:UE-specific PDCCH is not transmitted after T1 starts.,,,,,
